ts_event,open,high,low,close,volume
1525132800000000000,57500000000,58280000000,57450000000,58220000000,2124159
1525219200000000000,57510000000,58200000000,56510000000,56580000000,2509546
1525305600000000000,56510000000,56570000000,55540000000,56250000000,2363444
1525392000000000000,56890000000,57930000000,56490000000,57560000000,2788128
1525651200000000000,58790000000,59800000000,57280000000,57430000000,2881844
1525737600000000000,57410000000,57790000000,57010000000,57790000000,2143828
1525824000000000000,57620000000,57620000000,56790000000,57100000000,1970897
1525910400000000000,57100000000,57690000000,57020000000,57460000000,1484878
1525996800000000000,57650000000,57860000000,57070000000,57170000000,1809248
1526256000000000000,57400000000,57510000000,57000000000,57120000000,1801264
1526342400000000000,57120000000,57120000000,56350000000,56640000000,2870547
1526428800000000000,56870000000,57320000000,56780000000,57000000000,1406154
1526515200000000000,57150000000,57340000000,56990000000,57060000000,1622136
1526601600000000000,57320000000,57400000000,56860000000,57250000000,2317826
1526860800000000000,57160000000,57820000000,57160000000,57360000000,1467152
1526947200000000000,57430000000,57620000000,56910000000,56960000000,1720887
1527033600000000000,56970000000,57560000000,56650000000,57500000000,1718292
1527120000000000000,57490000000,57740000000,57115000000,57680000000,1636805
1527206400000000000,57570000000,58370000000,57430000000,58000000000,2534284
1527552000000000000,57970000000,57970000000,57020000000,57310000000,2374921
1527638400000000000,57360000000,57660000000,57160000000,57450000000,1635296
1527724800000000000,57510000000,57510000000,56550000000,56740000000,3074543
1527811200000000000,56820000000,57030000000,56610000000,57000000000,1671316
1528070400000000000,57230000000,57230000000,55460000000,56640000000,1728904
1528156800000000000,56500000000,56750000000,55290000000,55750000000,4577678
1528243200000000000,55990000000,57250000000,55620000000,57250000000,3412189
1528329600000000000,57470000000,57930000000,57090000000,57090000000,2492210
1528416000000000000,56830000000,57050000000,56525000000,56610000000,2488735
1528675200000000000,56600000000,56750000000,56270000000,56480000000,2044296
1528761600000000000,56500000000,56900000000,56305000000,56450000000,2374531
1528848000000000000,56590000000,56695000000,56180000000,56190000000,3010050
1528934400000000000,56200000000,57065000000,56200000000,57050000000,2939770
1529020800000000000,56880000000,57210000000,56460000000,57010000000,7153285
1529280000000000000,56570000000,57310000000,56110000000,57240000000,2797399
1529366400000000000,56600000000,57500000000,54080000000,56690000000,3155121
1529452800000000000,55410000000,55550000000,51580000000,52450000000,13796161
1529539200000000000,52630000000,52690000000,50360000000,50630000000,7036969
1529625600000000000,50880000000,51710000000,50620000000,51300000000,6497936
1529884800000000000,51000000000,51430000000,50215000000,50660000000,4652092
1529971200000000000,50660000000,50670000000,50120000000,50550000000,3001078
1530057600000000000,50470000000,50530000000,49800000000,49900000000,4061962
1530144000000000000,49900000000,49900000000,47370000000,48450000000,7377071
1530230400000000000,48710000000,49260000000,48010000000,48930000000,5454206
1530489600000000000,48750000000,49100000000,48460000000,48880000000,3172772
1530576000000000000,49230000000,49290000000,48710000000,48760000000,2905374
1530748800000000000,48810000000,49060000000,48400000000,48680000000,2755652
1530835200000000000,48830000000,49190000000,48590000000,48990000000,3296407
1531094400000000000,49280000000,50050000000,49200000000,50000000000,3390021
1531180800000000000,50320000000,50510000000,49900000000,49900000000,2769582
1531267200000000000,50400000000,50470000000,50000000000,50100000000,2627536
1531353600000000000,50250000000,50650000000,50200000000,50210000000,2873870
1531440000000000000,50250000000,51820000000,50210000000,51740000000,6572176
1531699200000000000,51730000000,51750000000,50690000000,50940000000,6160553
1531785600000000000,50780000000,51300000000,50600000000,51280000000,3236280
1531872000000000000,51080000000,51610000000,51000000000,51160000000,3804441
1531958400000000000,51120000000,51490000000,51000000000,51290000000,3489318
1532044800000000000,51340000000,51340000000,50750000000,50860000000,3087082
1532304000000000000,50800000000,51265000000,50760000000,51190000000,1918830
1532390400000000000,51160000000,51710000000,51070000000,51200000000,2750627
1532476800000000000,50930000000,51720000000,50930000000,51560000000,3103144
1532563200000000000,51320000000,52300000000,50550000000,51680000000,2581081
1532649600000000000,51600000000,52600000000,50220000000,52170000000,4643303
1532908800000000000,52120000000,52840000000,51760000000,51870000000,2308502
1532995200000000000,51900000000,52690000000,51880000000,52110000000,2691287
1533081600000000000,52250000000,52290000000,51260000000,51930000000,3405434
1533168000000000000,52220000000,52540000000,51430000000,51700000000,2778684
1533254400000000000,51900000000,52450000000,51590000000,52230000000,2120386
1533513600000000000,52300000000,52500000000,51810000000,52000000000,1918728
1533600000000000000,52110000000,52210000000,51810000000,52190000000,1328117
1533686400000000000,51890000000,51970000000,51370000000,51450000000,1624469
1533772800000000000,51610000000,52010000000,51310000000,51890000000,1633446
1533859200000000000,51670000000,51740000000,51200000000,51440000000,2602012
1534118400000000000,51500000000,51950000000,51480000000,51840000000,1965947
1534204800000000000,52040000000,52740000000,51770000000,52480000000,2620834
1534291200000000000,52120000000,52930000000,52010000000,52880000000,2344525
1534377600000000000,53000000000,53355000000,52860000000,52930000000,2404944
1534464000000000000,52810000000,53610000000,52810000000,53380000000,2069720
1534723200000000000,53560000000,54160000000,53560000000,53780000000,2655355
1534809600000000000,53700000000,54440000000,53440000000,53440000000,2699204
1534896000000000000,53500000000,53690000000,52660000000,52950000000,2220921
1534982400000000000,52980000000,53190000000,52565000000,52750000000,1791850
1535068800000000000,52900000000,52940000000,52420000000,52700000000,2337007
1535328000000000000,52740000000,53180000000,52740000000,52970000000,1617715
1535414400000000000,53100000000,53470000000,52980000000,53090000000,1537351
1535500800000000000,53170000000,53435000000,52725000000,53200000000,1448337
1535587200000000000,53240000000,53410000000,52970000000,53000000000,1324211
1535673600000000000,52350000000,53705000000,51750000000,53260000000,4239274
1536019200000000000,53170000000,53680000000,53150000000,53450000000,2122568
1536105600000000000,53380000000,53970000000,53290000000,53790000000,2380870
1536192000000000000,53760000000,54345000000,53650000000,54030000000,2090737
1536278400000000000,54220000000,54960000000,54050000000,54850000000,2602615
1536537600000000000,54850000000,55110000000,54570000000,54970000000,2739484
1536624000000000000,54910000000,55395000000,54770000000,55150000000,1747676
1536710400000000000,55160000000,55270000000,54330000000,54900000000,1867538
1536796800000000000,54960000000,55570000000,54745000000,54800000000,2750416
1536883200000000000,55010000000,55030000000,54610000000,54910000000,1777630
1537142400000000000,54930000000,54940000000,54280000000,54380000000,3161470
1537228800000000000,54500000000,55280000000,54110000000,55080000000,1819072
1537315200000000000,54940000000,55790000000,54900000000,55450000000,2295685
1537401600000000000,55630000000,56725000000,55600000000,56460000000,2902553
1537488000000000000,56520000000,57565000000,56460000000,57450000000,12876551
1537747200000000000,57090000000,57360000000,56580000000,56790000000,2734149
1537833600000000000,56970000000,57290000000,56800000000,57000000000,2815877
1537920000000000000,57090000000,57840000000,56740000000,57150000000,2072172
1538006400000000000,57000000000,57780000000,57000000000,57380000000,1800236
1538092800000000000,57200000000,57600000000,56780000000,56840000000,2514523
1538352000000000000,57110000000,57140000000,55460000000,55460000000,3380616
1538438400000000000,55390000000,56010000000,55290000000,55600000000,3333011
1538524800000000000,55660000000,56100000000,55460000000,55560000000,2091171
1538611200000000000,55400000000,56090000000,55400000000,56060000000,3075962
1538697600000000000,55890000000,56040000000,55310000000,55920000000,2870004
1538956800000000000,55810000000,56760000000,55460000000,56760000000,2818670
1539043200000000000,56550000000,59350000000,56550000000,57800000000,5786990
1539129600000000000,58000000000,58000000000,55210000000,55530000000,5331939
1539216000000000000,54850000000,56270000000,54705000000,55260000000,5208809
1539302400000000000,55270000000,56800000000,55270000000,56590000000,4811837
1539561600000000000,56240000000,57400000000,56050000000,56600000000,3087511
1539648000000000000,56800000000,58010000000,56770000000,57960000000,3135496
1539734400000000000,57710000000,59395000000,57630000000,59000000000,6134728
1539820800000000000,58570000000,59530000000,58160000000,58950000000,4045499
1539907200000000000,58780000000,59070000000,58190000000,58320000000,4326791
1540166400000000000,58630000000,59360000000,58500000000,58500000000,3105809
1540252800000000000,58380000000,59300000000,58020000000,58890000000,4356839
1540339200000000000,58520000000,59280000000,57950000000,58230000000,3803075
1540425600000000000,58660000000,59460000000,57720000000,58780000000,2995876
1540512000000000000,58130000000,58480000000,57390000000,58430000000,4908438
1540771200000000000,58520000000,59680000000,57710000000,58450000000,4200228
1540857600000000000,58500000000,58900000000,57690000000,58530000000,4595832
1540944000000000000,58740000000,59120000000,58040000000,58100000000,3896904
1541030400000000000,58310000000,64450000000,58080000000,64010000000,5852617
1541116800000000000,63500000000,65670000000,61850000000,64340000000,11491192
1541376000000000000,64050000000,65130000000,63820000000,64610000000,5472030
1541462400000000000,64400000000,66190000000,64250000000,66100000000,4936310
1541548800000000000,66340000000,68210000000,66040000000,68160000000,4764378
1541635200000000000,68010000000,68980000000,67640000000,68700000000,3277292
1541721600000000000,68400000000,68950000000,68080000000,68300000000,2893627
1541980800000000000,68330000000,68930000000,67800000000,68050000000,4011244
1542067200000000000,68440000000,68440000000,67100000000,67550000000,6548886
1542153600000000000,67790000000,67950000000,66640000000,67040000000,4513421
1542240000000000000,66950000000,67970000000,66360000000,67620000000,4853642
1542326400000000000,67400000000,68530000000,67110000000,68010000000,3417616
1542585600000000000,68330000000,68470000000,67230000000,67990000000,4250483
1542672000000000000,67650000000,67920000000,66760000000,66900000000,4177563
1542758400000000000,67190000000,67980000000,66740000000,66770000000,3592548
1542931200000000000,66590000000,66600000000,65260000000,65700000000,3020881
1543190400000000000,66130000000,66320000000,65120000000,65140000000,3920997
1543276800000000000,65320000000,66540000000,65310000000,66080000000,5444692
1543363200000000000,66400000000,66990000000,65470000000,66980000000,4008787
1543449600000000000,66370000000,67280000000,66130000000,66880000000,3373228
1543536000000000000,66880000000,67345000000,66650000000,66860000000,17392176
1543795200000000000,67030000000,68060000000,66665000000,67500000000,4986421
1543881600000000000,67200000000,68140000000,66450000000,66660000000,4787214
1544054400000000000,65890000000,66880000000,65590000000,66510000000,6511885
1544140800000000000,66470000000,66640000000,65200000000,65630000000,3861376
1544400000000000000,65140000000,65790000000,64460000000,65530000000,4378077
1544486400000000000,66000000000,66920000000,65530000000,65920000000,4205819
1544572800000000000,65760000000,66920000000,65370000000,65990000000,3802547
1544659200000000000,65800000000,67220000000,64500000000,64990000000,3725265
1544745600000000000,64600000000,65830000000,63580000000,65330000000,4959098
1545004800000000000,65600000000,65625000000,64080000000,64500000000,5131147
1545091200000000000,64800000000,65400000000,63520000000,64570000000,3728909
1545177600000000000,65180000000,65900000000,63620000000,64070000000,5844244
1545264000000000000,63870000000,64050000000,61450000000,62720000000,7102464
1545350400000000000,62610000000,63205000000,61350000000,61350000000,12827894
1545609600000000000,60740000000,61820000000,60010000000,60500000000,2261072
1545782400000000000,60560000000,63740000000,60440000000,63490000000,5837970
1545868800000000000,62670000000,63400000000,61620000000,62930000000,4547666
1545955200000000000,63320000000,64100000000,63020000000,63390000000,2739118
1546214400000000000,64000000000,64610000000,63660000000,64400000000,3492476
1546387200000000000,63650000000,64390000000,63210000000,63550000000,3546646
1546473600000000000,63630000000,63770000000,61400000000,61740000000,4766897
1546560000000000000,62130000000,64240000000,62080000000,63580000000,4886425
1546819200000000000,63350000000,64240000000,62750000000,63690000000,3366267
1546905600000000000,63570000000,64290000000,63050000000,63490000000,4255838
