ts_event,open,high,low,close,volume
1525132800000000000,97000000000,99750000000,96830000000,99160000000,1882462
1525219200000000000,98520000000,98890000000,97700000000,98030000000,1109377
1525305600000000000,97170000000,98570000000,96080000000,98450000000,2473055
1525392000000000000,97520000000,100775000000,97280000000,100750000000,1616910
1525651200000000000,101300000000,101780000000,100950000000,101190000000,1054109
1525737600000000000,101140000000,102050000000,100840000000,102050000000,951613
1525824000000000000,102185000000,103770000000,102080000000,103770000000,937449
1525910400000000000,104000000000,105180000000,103960000000,104970000000,1010349
1525996800000000000,104540000000,105350000000,104230000000,104430000000,1097832
1526256000000000000,106270000000,107370000000,106050000000,106260000000,1337391
1526342400000000000,106000000000,106260000000,104400000000,105050000000,1271131
1526428800000000000,105330000000,106610000000,105330000000,106460000000,927597
1526515200000000000,106260000000,106780000000,105000000000,105000000000,854135
1526601600000000000,104470000000,105210000000,103980000000,104500000000,1535494
1526860800000000000,106270000000,106880000000,105030000000,106000000000,881611
1526947200000000000,107000000000,107480000000,106400000000,106920000000,914325
1527033600000000000,106090000000,106940000000,105390000000,106840000000,917773
1527120000000000000,106930000000,107530000000,105940000000,107430000000,1100542
1527206400000000000,107460000000,108390000000,107150000000,108340000000,805281
1527552000000000000,107830000000,108490000000,106870000000,107520000000,1213145
1527638400000000000,108070000000,108810000000,107490000000,107990000000,1246154
1527724800000000000,107540000000,108220000000,106920000000,107280000000,1057286
1527811200000000000,108070000000,109640000000,107940000000,109600000000,1064565
1528070400000000000,109690000000,110360000000,109310000000,110270000000,905231
1528156800000000000,110680000000,111010000000,110010000000,111000000000,772345
1528243200000000000,111130000000,111620000000,110370000000,111620000000,637796
1528329600000000000,111520000000,112070000000,110050000000,110900000000,1878201
1528416000000000000,109880000000,110180000000,108910000000,109970000000,1064961
1528675200000000000,109680000000,110290000000,109400000000,109800000000,679270
1528761600000000000,109980000000,110210000000,109270000000,110120000000,598626
1528848000000000000,110100000000,111060000000,109750000000,109900000000,852245
1528934400000000000,110450000000,110850000000,109690000000,110800000000,716424
1529020800000000000,109800000000,110230000000,109310000000,110190000000,1300336
1529280000000000000,108830000000,109075000000,107920000000,108920000000,1278730
1529366400000000000,107070000000,107700000000,106140000000,107660000000,2224136
1529452800000000000,108500000000,108740000000,107720000000,108000000000,1041515
1529539200000000000,108820000000,109490000000,106980000000,107030000000,1569427
1529625600000000000,107600000000,107830000000,106200000000,106540000000,857385
1529884800000000000,105050000000,105050000000,102010000000,103190000000,1955750
1529971200000000000,103630000000,104060000000,102970000000,103690000000,1168005
1530057600000000000,103600000000,104320000000,101160000000,101200000000,1852023
1530144000000000000,101510000000,102370000000,100090000000,102140000000,1735064
1530230400000000000,103150000000,103670000000,102500000000,102560000000,1243059
1530489600000000000,101260000000,103090000000,100920000000,102850000000,1100866
1530576000000000000,103250000000,103320000000,100970000000,100970000000,1086117
1530748800000000000,102240000000,104000000000,102100000000,103560000000,1245065
1530835200000000000,103440000000,105120000000,103190000000,104970000000,1814064
1531094400000000000,105820000000,105840000000,104450000000,105810000000,886273
1531180800000000000,106050000000,106990000000,105560000000,105560000000,1409117
1531267200000000000,105490000000,105505000000,103500000000,103500000000,1748104
1531353600000000000,104180000000,105300000000,103790000000,105210000000,1346781
1531440000000000000,105410000000,105450000000,104710000000,104950000000,724696
1531699200000000000,104870000000,105380000000,104590000000,104640000000,627130
1531785600000000000,104000000000,106050000000,103710000000,106040000000,977560
1531872000000000000,106820000000,107180000000,106310000000,107000000000,1079790
1531958400000000000,106630000000,107215000000,106080000000,107000000000,1057050
1532044800000000000,106510000000,106980000000,105800000000,106630000000,990076
1532304000000000000,105900000000,106730000000,104590000000,106590000000,885532
1532390400000000000,107180000000,107780000000,105180000000,105180000000,2106316
1532476800000000000,105160000000,106990000000,104070000000,106520000000,2052227
1532563200000000000,106260000000,107510000000,106010000000,106780000000,2489129
1532649600000000000,107690000000,108340000000,106100000000,106890000000,1873743
1532908800000000000,107050000000,107210000000,105440000000,105960000000,1924991
1532995200000000000,107155000000,107870000000,106320000000,106420000000,1094664
1533081600000000000,106550000000,107480000000,106000000000,106440000000,1021754
1533168000000000000,105500000000,107570000000,105150000000,107480000000,1145730
1533254400000000000,107120000000,107750000000,106980000000,107520000000,826176
1533513600000000000,107560000000,108125000000,106780000000,108120000000,772108
1533600000000000000,108450000000,108870000000,108070000000,108860000000,750680
1533686400000000000,108870000000,109350000000,108480000000,109020000000,1053871
1533772800000000000,108770000000,108810000000,107700000000,107800000000,776906
1533859200000000000,106750000000,106750000000,105160000000,105660000000,2073072
1534118400000000000,105820000000,106670000000,105620000000,105740000000,979418
1534204800000000000,106270000000,106510000000,105370000000,105720000000,1138264
1534291200000000000,104400000000,104850000000,102730000000,103980000000,2699957
1534377600000000000,104400000000,104510000000,102250000000,102750000000,1638334
1534464000000000000,102500000000,103100000000,101380000000,102900000000,2269270
1534723200000000000,103090000000,103400000000,101630000000,102760000000,1430249
1534809600000000000,103150000000,105110000000,103120000000,104860000000,987441
1534896000000000000,104160000000,105295000000,103900000000,105190000000,1167598
1534982400000000000,105230000000,105990000000,105040000000,105300000000,951841
1535068800000000000,105500000000,106920000000,105500000000,106880000000,960550
1535328000000000000,107740000000,109370000000,107510000000,108590000000,1457288
1535414400000000000,109100000000,109510000000,108040000000,109030000000,985102
1535500800000000000,109000000000,109840000000,108770000000,109590000000,859689
1535587200000000000,109660000000,109720000000,108330000000,108470000000,1427803
1535673600000000000,108380000000,109025000000,108330000000,108880000000,705048
1536019200000000000,108380000000,109730000000,108110000000,109730000000,1458036
1536105600000000000,109780000000,109860000000,108210000000,109090000000,1805340
1536192000000000000,108610000000,108660000000,106150000000,106270000000,2400201
1536278400000000000,106500000000,107290000000,105530000000,105750000000,2011132
1536537600000000000,106670000000,106900000000,105930000000,106850000000,1009173
1536624000000000000,106000000000,106260000000,105010000000,105620000000,1294016
1536710400000000000,104050000000,104335000000,102170000000,104190000000,2417568
1536796800000000000,105750000000,106760000000,105050000000,105460000000,1847778
1536883200000000000,106100000000,107090000000,105850000000,106740000000,1321638
1537142400000000000,106010000000,106610000000,105130000000,105230000000,1455892
1537228800000000000,105690000000,106700000000,105690000000,106040000000,714483
1537315200000000000,106230000000,106720000000,105740000000,106270000000,850889
1537401600000000000,107270000000,108550000000,107110000000,107300000000,1328945
1537488000000000000,107470000000,108040000000,106960000000,107220000000,1004450
1537747200000000000,106810000000,107890000000,106330000000,107810000000,799227
1537833600000000000,107580000000,107580000000,105950000000,106120000000,991765
1537920000000000000,105770000000,106510000000,105190000000,105240000000,1008133
1538006400000000000,105680000000,106210000000,105320000000,105790000000,587489
1538092800000000000,105560000000,106830000000,105250000000,106420000000,1140671
1538352000000000000,106770000000,107550000000,106500000000,106720000000,863549
1538438400000000000,106230000000,108170000000,106230000000,106680000000,1204341
1538524800000000000,107560000000,107640000000,106080000000,107020000000,1207463
1538611200000000000,106170000000,106180000000,103760000000,104660000000,2304380
1538697600000000000,104380000000,104660000000,101310000000,102260000000,2522600
