ts_event,open,high,low,close,volume
1525165200000000000,14320000000,14320000000,14320000000,14320000000,100
1525172400000000000,14320000000,14440000000,14320000000,14440000000,250
1525176000000000000,14370000000,14370000000,14360000000,14370000000,1071
1525179600000000000,14360000000,14540000000,14210000000,14250000000,169060
1525183200000000000,14260000000,14280000000,13770000000,13830000000,515092
1525186800000000000,13835000000,13970000000,13750000000,13890000000,259955
1525190400000000000,13895000000,13905000000,13855000000,13895000000,262429
1525194000000000000,13895000000,14055000000,13810000000,14025000000,416824
1525197600000000000,14020000000,14120000000,13940000000,14070000000,337655
1525201200000000000,14065000000,14170000000,14035000000,14130000000,954709
1525204800000000000,14160000000,14450000000,11500000000,11900000000,4209016
1525208400000000000,11900000000,12090000000,11820000000,12050000000,310434
1525212000000000000,12050000000,12090000000,11910000000,11950000000,47102
1525215600000000000,12020000000,12150000000,11980000000,12130000000,69801
1525248000000000000,11900000000,12090000000,11890000000,12000000000,50041
1525251600000000000,12030000000,12030000000,11860000000,11980000000,67369
1525255200000000000,11940000000,11940000000,11540000000,11740000000,91632
1525258800000000000,11740000000,11800000000,11400000000,11470000000,405291
1525262400000000000,11470000000,11490000000,11290000000,11380000000,348224
1525266000000000000,11380000000,11470000000,10960000000,11085000000,3117512
1525269600000000000,11085000000,11590000000,11070000000,11500000000,2256518
1525273200000000000,11505000000,11690000000,11325000000,11385000000,1524141
1525276800000000000,11385000000,11470000000,11210000000,11245000000,1117715
1525280400000000000,11245000000,11245000000,11115000000,11120000000,702559
1525284000000000000,11120000000,11135000000,11025000000,11075000000,889020
1525287600000000000,11075000000,11090000000,11025000000,11025000000,418242
1525291200000000000,11010000000,11070000000,11000000000,11030000000,62759
1525294800000000000,11050000000,11050000000,11040000000,11050000000,2054
1525298400000000000,11100000000,11130000000,11050000000,11080000000,11108
1525302000000000000,11070000000,11070000000,11050000000,11050000000,3010
1525334400000000000,11030000000,11150000000,11030000000,11150000000,873
1525338000000000000,11150000000,11150000000,11100000000,11100000000,2100
1525341600000000000,11150000000,11160000000,11150000000,11150000000,2846
1525345200000000000,11170000000,11170000000,11070000000,11100000000,12591
1525348800000000000,11080000000,11120000000,11030000000,11110000000,19060
1525352400000000000,11120000000,11300000000,11090000000,11220000000,521951
1525356000000000000,11220000000,11240000000,10900000000,10900000000,535634
1525359600000000000,10905000000,10940000000,10805000000,10830000000,394686
1525363200000000000,10830000000,10840000000,10635000000,10695000000,533954
1525366800000000000,10695000000,10720000000,10510000000,10715000000,439962
1525370400000000000,10720000000,10885000000,10720000000,10875000000,418774
1525374000000000000,10875000000,11000000000,10875000000,10970000000,794278
1525377600000000000,10960000000,10990000000,10930000000,10970000000,8669
1525381200000000000,10920000000,10920000000,10920000000,10920000000,2100
1525420800000000000,10970000000,10970000000,10960000000,10970000000,250
1525424400000000000,10970000000,11000000000,10970000000,11000000000,981
1525428000000000000,11000000000,11000000000,11000000000,11000000000,299
1525431600000000000,10990000000,11070000000,10990000000,11000000000,6376
1525435200000000000,10950000000,10950000000,10890000000,10900000000,6950
1525438800000000000,10910000000,10950000000,10575000000,10640000000,505377
1525442400000000000,10645000000,10750000000,10590000000,10610000000,527885
1525446000000000000,10605000000,10715000000,10605000000,10650000000,287220
1525449600000000000,10650000000,10795000000,10645000000,10705000000,270063
1525453200000000000,10710000000,10835000000,10690000000,10825000000,180269
1525456800000000000,10825000000,10925000000,10810000000,10850000000,276964
1525460400000000000,10855000000,10880000000,10755000000,10800000000,477533
1525464000000000000,10780000000,10780000000,10700000000,10720000000,67248
1525467600000000000,10750000000,10750000000,10710000000,10710000000,6832
1525471200000000000,10710000000,10710000000,10700000000,10700000000,6908
1525474800000000000,10700000000,10700000000,10680000000,10680000000,22472
1525690800000000000,10790000000,10800000000,10790000000,10800000000,1548
1525694400000000000,10800000000,10860000000,10800000000,10840000000,2161
1525698000000000000,10840000000,10840000000,10620000000,10720000000,251949
1525701600000000000,10720000000,10890000000,10700000000,10805000000,288324
1525705200000000000,10805000000,10825000000,10755000000,10770000000,93703
1525708800000000000,10765000000,10800000000,10710000000,10710000000,128325
1525712400000000000,10710000000,10770000000,10660000000,10770000000,175001
1525716000000000000,10775000000,10790000000,10715000000,10755000000,90424
1525719600000000000,10760000000,10780000000,10705000000,10750000000,215290
1525723200000000000,10760000000,11050000000,10620000000,10890000000,261073
1525726800000000000,10870000000,10920000000,10850000000,10910000000,8276
1525730400000000000,10910000000,10920000000,10910000000,10910000000,1569
1525734000000000000,10910000000,10920000000,10880000000,10890000000,9351
1525766400000000000,10900000000,10990000000,10860000000,10990000000,2450
1525770000000000000,10990000000,10990000000,10930000000,10930000000,6578
1525773600000000000,10930000000,10960000000,10900000000,10900000000,11932
1525777200000000000,10940000000,10940000000,10890000000,10890000000,569
1525780800000000000,10930000000,10980000000,10890000000,10950000000,17918
1525784400000000000,10930000000,11420000000,10930000000,11160000000,543060
1525788000000000000,11160000000,11265000000,11015000000,11020000000,383298
1525791600000000000,11015000000,11035000000,10910000000,10930000000,241187
1525795200000000000,10925000000,10950000000,10815000000,10835000000,274323
1525798800000000000,10840000000,10865000000,10750000000,10825000000,233088
1525802400000000000,10830000000,10970000000,10810000000,10920000000,173510
1525806000000000000,10915000000,10975000000,10885000000,10965000000,207962
1525809600000000000,10950000000,10950000000,10910000000,10920000000,1688
1525813200000000000,10910000000,10910000000,10900000000,10900000000,900
1525816800000000000,10920000000,10940000000,10920000000,10940000000,3992
