ts_event,open,high,low,close,volume
1622534400000000000,21200000000,21200000000,21200000000,21200000000,20
1622538000000000000,21140000000,21140000000,20900000000,20900000000,632
1622541600000000000,21000000000,21000000000,20890000000,20900000000,2859
1622545200000000000,20890000000,21000000000,20700000000,20700000000,6129
1622548800000000000,20700000000,21270000000,20650000000,21000000000,14897
1622552400000000000,20950000000,22490000000,20450000000,20880000000,308188
1622556000000000000,20880000000,21760000000,20880000000,21550000000,152347
1622559600000000000,21530000000,22000000000,21220000000,21570000000,238198
1622563200000000000,21630000000,21660000000,21030000000,21300000000,59279
1622566800000000000,21310000000,21590000000,21110000000,21470000000,49978
1622570400000000000,21430000000,21880000000,21330000000,21880000000,65326
1622574000000000000,21880000000,22690000000,21660000000,22590000000,689390
1622577600000000000,22650000000,23200000000,22510000000,23160000000,379064
1622581200000000000,23150000000,23300000000,23000000000,23000000000,11779
1622584800000000000,22950000000,23150000000,22760000000,22760000000,1886
1622588400000000000,22900000000,22980000000,22750000000,22950000000,1434
1622620800000000000,23620000000,23700000000,22800000000,22900000000,3891
1622624400000000000,22990000000,22990000000,22990000000,22990000000,9
1622628000000000000,23160000000,23220000000,23040000000,23140000000,1990
1622631600000000000,23200000000,23350000000,23000000000,23350000000,7609
1622635200000000000,23370000000,23470000000,22990000000,23150000000,14602
1622638800000000000,23150000000,23660000000,22650000000,23110000000,438639
1622642400000000000,23080000000,24490000000,23000000000,24490000000,463036
1622646000000000000,24480000000,24950000000,23870000000,23980000000,351713
1622649600000000000,23980000000,24035000000,23400000000,23720000000,208476
1622653200000000000,23720000000,23870000000,23500000000,23790000000,84251
1622656800000000000,23780000000,23780000000,23010000000,23100000000,111276
1622660400000000000,23100000000,23290000000,23040000000,23200000000,157252
1622664000000000000,23210000000,23300000000,23210000000,23300000000,17711
1622667600000000000,23210000000,23250000000,23110000000,23230000000,745
1622671200000000000,23240000000,23300000000,23210000000,23300000000,1916
1622674800000000000,23280000000,23280000000,23110000000,23210000000,952
1622707200000000000,23000000000,23050000000,21870000000,21870000000,16308
1622710800000000000,21850000000,22000000000,21690000000,22000000000,22076
1622714400000000000,21980000000,22100000000,21950000000,22070000000,7705
1622718000000000000,22070000000,22700000000,22070000000,22320000000,16381
1622721600000000000,22310000000,22440000000,22130000000,22440000000,12997
1622725200000000000,22450000000,23060000000,22350000000,22920000000,362215
1622728800000000000,22930000000,23300000000,22670000000,23060000000,132810
1622732400000000000,23080000000,23200000000,22860000000,22940000000,105795
1622736000000000000,22940000000,23220000000,22930000000,23150000000,55388
1622739600000000000,23120000000,23500000000,22820000000,22980000000,92556
1622743200000000000,22980000000,23230000000,22850000000,22890000000,55893
1622746800000000000,22910000000,22990000000,22660000000,22720000000,112077
