ts_event,open,high,low,close,volume
1525132800000000000,121900000000,130500000000,120720000000,129280000000,103155
1525219200000000000,128000000000,129510000000,124700000000,125000000000,69239
1525305600000000000,124710000000,130100000000,120340000000,128480000000,126560
1525392000000000000,125240000000,138110000000,125000000000,137720000000,116554
1525651200000000000,140780000000,143310000000,139520000000,141480000000,108032
1525737600000000000,140600000000,144600000000,139420000000,144600000000,88611
1525824000000000000,145430000000,150790000000,144520000000,150050000000,82219
1525910400000000000,151000000000,158990000000,150900000000,155000000000,90629
1525996800000000000,155780000000,159500000000,154170000000,154910000000,91586
1526256000000000000,158880000000,166330000000,158880000000,161500000000,74814
1526342400000000000,159210000000,159500000000,152050000000,155280000000,108972
1526428800000000000,156370000000,162500000000,156370000000,161630000000,94819
1526515200000000000,160710000000,163630000000,156410000000,159860000000,54611
1526601600000000000,158920000000,159940000000,151430000000,152910000000,73967
1526860800000000000,158880000000,162380000000,153700000000,157710000000,88703
1526947200000000000,160500000000,163900000000,158740000000,160440000000,83035
1527033600000000000,157190000000,163090000000,155000000000,163090000000,66530
1527120000000000000,162650000000,165920000000,158710000000,164680000000,88496
1527206400000000000,164510000000,169250000000,163930000000,168820000000,79369
1527552000000000000,167000000000,169850000000,162270000000,165720000000,88878
1527638400000000000,167750000000,172500000000,166430000000,169090000000,114701
1527724800000000000,169230000000,170200000000,164490000000,165190000000,60189
1527811200000000000,168100000000,176500000000,167650000000,176500000000,161063
1528070400000000000,179000000000,181190000000,175720000000,180030000000,105341
1528156800000000000,182000000000,184670000000,180000000000,183020000000,59042
1528243200000000000,184400000000,186590000000,181000000000,186500000000,85556
1528329600000000000,186560000000,187670000000,177530000000,181580000000,75824
1528416000000000000,175590000000,177740000000,172500000000,176720000000,82944
1528675200000000000,175180000000,178000000000,173900000000,175510000000,47158
1528761600000000000,177490000000,178550000000,173920000000,178180000000,71499
1528848000000000000,177870000000,183130000000,177000000000,177520000000,83542
1528934400000000000,179970000000,183310000000,177500000000,182000000000,80176
1529020800000000000,177450000000,180590000000,175250000000,180030000000,93514
1529280000000000000,176490000000,176500000000,169880000000,173500000000,111265
1529366400000000000,168220000000,168620000000,160830000000,168540000000,140299
1529452800000000000,172610000000,173600000000,169000000000,171200000000,58800
1529539200000000000,174800000000,174880000000,164170000000,164800000000,95121
1529625600000000000,168000000000,168000000000,160000000000,160890000000,56826
1529884800000000000,156390000000,156390000000,140720000000,146770000000,134246
1529971200000000000,149000000000,150420000000,146210000000,148340000000,61709
1530057600000000000,149000000000,151670000000,137250000000,137990000000,105682
1530144000000000000,136460000000,141610000000,135210000000,140920000000,72992
1530230400000000000,144020000000,146500000000,141500000000,143100000000,70637
1530489600000000000,138240000000,144180000000,134990000000,144140000000,54482
1530576000000000000,146010000000,146010000000,135800000000,136960000000,80219
1530748800000000000,138250000000,147120000000,138250000000,146960000000,115778
