ts_event,open,high,low,close,volume
1525132800000000000,264570000000,265520000000,262110000000,265380000000,12166986
1525219200000000000,265270000000,265680000000,262360000000,262710000000,12409460
1525305600000000000,263390000000,263450000000,259050000000,262560000000,23936504
1525392000000000000,263180000000,266780000000,261150000000,266440000000,13385187
1525651200000000000,266620000000,268020000000,266110000000,266580000000,8848556
1525737600000000000,266730000000,267310000000,265150000000,266740000000,10887878
1525824000000000000,267750000000,269860000000,267090000000,269440000000,10525338
1525910400000000000,269940000000,272380000000,269580000000,271910000000,10158982
1525996800000000000,271690000000,273160000000,271590000000,273160000000,9545823
1526256000000000000,273340000000,274080000000,272370000000,272880000000,9250236
1526342400000000000,272540000000,272760000000,270030000000,270670000000,14118855
1526428800000000000,271320000000,272750000000,270470000000,272390000000,8189344
1526515200000000000,271880000000,273230000000,271140000000,272280000000,9572257
1526601600000000000,272310000000,272600000000,270930000000,271150000000,8079020
1526860800000000000,272670000000,273980000000,272600000000,273240000000,8795840
1526947200000000000,273720000000,274250000000,272240000000,272560000000,8344183
1527033600000000000,271250000000,273430000000,270600000000,273020000000,10283204
1527120000000000000,273240000000,273500000000,270780000000,273140000000,10998635
1527206400000000000,273040000000,273680000000,271580000000,272300000000,8416266
1527552000000000000,270800000000,271170000000,267760000000,269030000000,18485267
1527638400000000000,270380000000,273100000000,269810000000,272220000000,11374716
1527724800000000000,272740000000,273000000000,270255000000,271080000000,13791655
1527811200000000000,271750000000,273960000000,271650000000,273960000000,10879782
1528070400000000000,274400000000,275190000000,274260000000,274780000000,8147764
1528156800000000000,275110000000,275540000000,274180000000,275460000000,8278925
1528243200000000000,275870000000,277700000000,275090000000,277470000000,9839798
1528329600000000000,278150000000,278280000000,276350000000,277530000000,10719940
1528416000000000000,276380000000,278400000000,275600000000,278400000000,8476284
1528675200000000000,278480000000,279370000000,277930000000,278920000000,7523197
1528761600000000000,278630000000,279330000000,278190000000,279260000000,7403206
1528848000000000000,278990000000,279470000000,277780000000,278020000000,9818712
1528934400000000000,277610000000,279330000000,277340000000,278710000000,8568528
1529020800000000000,276410000000,277510000000,275350000000,276540000000,14478142
1529280000000000000,275920000000,276800000000,274950000000,275410000000,8072092
1529366400000000000,273450000000,275750000000,272800000000,275560000000,12817228
1529452800000000000,276260000000,276720000000,275590000000,276260000000,7667063
1529539200000000000,276330000000,276330000000,273680000000,274210000000,11867963
1529625600000000000,275150000000,275780000000,274460000000,274550000000,9215037
1529884800000000000,273550000000,273730000000,269100000000,271080000000,21524962
1529971200000000000,271110000000,272560000000,270630000000,272020000000,12941139
1530057600000000000,270110000000,273865000000,269180000000,270020000000,17317024
1530144000000000000,270420000000,271745000000,268480000000,271050000000,13791093
1530230400000000000,272470000000,273660000000,271060000000,271100000000,14600762
1530489600000000000,269520000000,272040000000,269240000000,271900000000,10653833
1530576000000000000,272360000000,273300000000,270100000000,270330000000,7574501
1530748800000000000,271600000000,273200000000,270965000000,272520000000,9345746
1530835200000000000,273080000000,275840000000,272400000000,275400000000,10716901
1531094400000000000,276470000000,278420000000,276280000000,278380000000,7331298
1531180800000000000,278110000000,279010000000,276550000000,276740000000,7186235
1531267200000000000,276510000000,278040000000,276420000000,277110000000,12601207
1531353600000000000,277760000000,279580000000,277250000000,279500000000,9800236
1531440000000000000,279640000000,279930000000,278650000000,279820000000,8452196
1531699200000000000,280000000000,280050000000,278780000000,279090000000,7361502
1531785600000000000,278950000000,280910000000,278350000000,280840000000,8875473
1531872000000000000,280380000000,281180000000,280060000000,281020000000,6634491
1531958400000000000,280430000000,280740000000,279460000000,280110000000,9549787
1532044800000000000,279890000000,280470000000,278790000000,279580000000,11016526
1532304000000000000,279200000000,281050000000,279060000000,280990000000,7773305
1532390400000000000,280870000000,282550000000,280630000000,281290000000,10166302
1532476800000000000,281400000000,284370000000,280810000000,283000000000,13107286
1532563200000000000,283070000000,284110000000,282820000000,283730000000,8980187
1532649600000000000,283860000000,284160000000,280380000000,281320000000,12555770
1532908800000000000,280940000000,281680000000,279360000000,280110000000,10392753
1532995200000000000,280140000000,282300000000,280040000000,281360000000,11650205
1533081600000000000,281400000000,282130000000,280140000000,281020000000,9426837
1533168000000000000,279790000000,282710000000,278810000000,282520000000,10182891
1533254400000000000,282300000000,283720000000,282120000000,283640000000,8437907
1533513600000000000,283600000000,284980000000,283170000000,284650000000,6055063
1533600000000000000,285240000000,286010000000,285180000000,285540000000,7174486
1533686400000000000,285580000000,285910000000,284940000000,285140000000,7122176
1533772800000000000,285280000000,285970000000,284720000000,284820000000,5387231
1533859200000000000,283840000000,284080000000,282360000000,283700000000,12609625
1534118400000000000,283150000000,284160000000,281770000000,282510000000,12108033
1534204800000000000,283600000000,284170000000,282490000000,283970000000,8035154
1534291200000000000,283650000000,283680000000,280160000000,281930000000,19532145
1534377600000000000,282560000000,285040000000,282550000000,284080000000,11664480
1534464000000000000,284410000000,285560000000,283375000000,284990000000,11311425
1534723200000000000,285750000000,285970000000,285060000000,285480000000,6967575
1534809600000000000,285980000000,287310000000,284650000000,284650000000,12134853
1534896000000000000,285400000000,286760000000,285240000000,286180000000,8330331
1534982400000000000,285940000000,286930000000,285435000000,285710000000,8402901
1535068800000000000,286340000000,287690000000,286220000000,287610000000,10915425
1535328000000000000,288110000000,290060000000,288090000000,290030000000,8561296
1535414400000000000,289870000000,290530000000,289400000000,290160000000,7455023
1535500800000000000,290210000000,291740000000,289780000000,291460000000,8733755
1535587200000000000,291100000000,291360000000,289630000000,289870000000,10380288
1535673600000000000,289990000000,291000000000,289290000000,291000000000,9948973
1536019200000000000,291120000000,291190000000,288690000000,289880000000,9491822
1536105600000000000,288800000000,289630000000,287890000000,288700000000,11906787
1536192000000000000,288810000000,289490000000,287010000000,287960000000,11214567
1536278400000000000,287840000000,288690000000,286710000000,287310000000,12023735
1536537600000000000,288380000000,289040000000,287880000000,288280000000,8320872
1536624000000000000,288350000000,289550000000,286975000000,289330000000,8814418
1536710400000000000,289590000000,289800000000,288230000000,289020000000,10492701
1536796800000000000,289490000000,291030000000,289280000000,290830000000,8984598
1536883200000000000,291050000000,291490000000,290000000000,290990000000,8794460
1537142400000000000,290610000000,290930000000,288210000000,288270000000,10422705
