ts_event,open,high,low,close,volume
1525132800000000000,17690000000,17930000000,16690000000,16820000000,2057504
1525219200000000000,16840000000,17520000000,16790000000,17460000000,2208632
1525305600000000000,17380000000,18220000000,17200000000,17370000000,3723334
1525392000000000000,17290000000,17650000000,16290000000,16330000000,3300088
1525651200000000000,16170000000,16220000000,15850000000,16080000000,2095660
1525737600000000000,16060000000,16395000000,15960000000,16080000000,2396919
1525824000000000000,15980000000,16130000000,15480000000,15550000000,1906815
1525910400000000000,15440000000,15520000000,15020000000,15080000000,2430515
1525996800000000000,15130000000,15295000000,14980000000,15050000000,2146887
1526256000000000000,14990000000,15100000000,14745000000,15010000000,2705514
1526342400000000000,15110000000,15760000000,15060000000,15590000000,3208140
1526428800000000000,15450000000,15580000000,15120000000,15200000000,1705160
1526515200000000000,15390000000,15630000000,15070000000,15370000000,2197872
1526601600000000000,15350000000,15710000000,15290000000,15630000000,2218019
1526860800000000000,15360000000,15580000000,15080000000,15390000000,2562689
1526947200000000000,15280000000,15520000000,15105000000,15460000000,3533830
1527033600000000000,15810000000,15920000000,15060000000,15110000000,5286194
1527120000000000000,15050000000,15540000000,14980000000,15040000000,1868567
1527206400000000000,14970000000,15170000000,14890000000,15020000000,1771508
1527552000000000000,15260000000,15500000000,15000000000,15250000000,2567337
1527638400000000000,15060000000,15170000000,14840000000,14960000000,1718079
1527724800000000000,14820000000,15065000000,14670000000,14920000000,2157006
1527811200000000000,14830000000,14850000000,14225000000,14260000000,2179510
1528070400000000000,14110000000,14170000000,13860000000,13880000000,1613391
1528156800000000000,13830000000,13920000000,13660000000,13690000000,1475415
1528243200000000000,13650000000,13905000000,13460000000,13510000000,1542871
1528329600000000000,13410000000,14030000000,13410000000,13820000000,3320366
1528416000000000000,14080000000,14260000000,13780000000,13820000000,1502406
1528675200000000000,13830000000,13930000000,13640000000,13700000000,1576004
1528761600000000000,13700000000,13800000000,13440000000,13450000000,1741034
1528848000000000000,13530000000,13600000000,13230000000,13500000000,2882221
1528934400000000000,13620000000,13670000000,13060000000,13110000000,2508988
1529020800000000000,13230000000,13445000000,13140000000,13280000000,3113013
