ts_event,open,high,low,close,volume
1525132800000000000,32840000000,32930000000,32365000000,32550000000,3780276
1525219200000000000,32630000000,32630000000,31910000000,32120000000,4130334
1525305600000000000,32240000000,32240000000,31615000000,31990000000,3297885
1525392000000000000,32000000000,32260000000,31830000000,32220000000,1581577
1525651200000000000,32270000000,32280000000,31850000000,32010000000,2155137
1525737600000000000,31970000000,32050000000,31580000000,31700000000,2657834
1525824000000000000,31820000000,31980000000,31175000000,31400000000,2624214
1525910400000000000,31500000000,32025000000,31490000000,31830000000,1864458
1525996800000000000,32080000000,32320000000,31990000000,32290000000,1924723
1526256000000000000,32390000000,32480000000,32110000000,32250000000,1722856
1526342400000000000,32410000000,32410000000,31820000000,32090000000,2048179
1526428800000000000,32190000000,32410000000,32050000000,32310000000,1352899
1526515200000000000,32350000000,32480000000,31905000000,31930000000,1970486
1526601600000000000,32000000000,32100000000,31790000000,32070000000,1445147
1526860800000000000,32160000000,32650000000,31900000000,32600000000,1641169
1526947200000000000,32670000000,32810000000,32400000000,32470000000,2486854
1527033600000000000,32340000000,32520000000,32050000000,32290000000,1842801
1527120000000000000,32300000000,32840000000,32220000000,32780000000,2302703
1527206400000000000,32840000000,32840000000,32395000000,32520000000,1521391
1527552000000000000,32480000000,32530000000,32140000000,32400000000,2128954
1527638400000000000,32370000000,32630000000,32290000000,32500000000,1607837
1527724800000000000,32580000000,32580000000,32160000000,32310000000,1812352
1527811200000000000,32360000000,32610000000,32360000000,32490000000,1474998
1528070400000000000,32630000000,32675000000,32350000000,32410000000,1121536
1528156800000000000,32500000000,32750000000,32300000000,32680000000,1408529
1528243200000000000,32680000000,33555000000,32610000000,33310000000,2615871
1528329600000000000,33230000000,33960000000,32910000000,33830000000,2989375
1528416000000000000,33660000000,34020000000,33580000000,33940000000,2111455
1528675200000000000,33840000000,34470000000,33810000000,34280000000,2587002
1528761600000000000,34270000000,35120000000,33010000000,33390000000,8564103
1528848000000000000,33650000000,33700000000,32200000000,32280000000,17350422
1528934400000000000,32440000000,32970000000,32100000000,32570000000,9016801
1529020800000000000,32450000000,33270000000,32155000000,33050000000,6809262
1529280000000000000,33110000000,33220000000,32100000000,32140000000,5833673
1529366400000000000,32000000000,32595000000,31780000000,32390000000,4695978
1529452800000000000,32550000000,32610000000,31950000000,32040000000,3852902
1529539200000000000,32080000000,32290000000,31515000000,31650000000,4211351
1529625600000000000,31800000000,31890000000,31510000000,31680000000,3950193
1529884800000000000,31510000000,31945000000,31510000000,31710000000,2658547
1529971200000000000,31710000000,31805000000,31400000000,31620000000,2989673
1530057600000000000,31700000000,32080000000,31560000000,31720000000,3851790
1530144000000000000,31810000000,32315000000,31660000000,32150000000,3252418
1530230400000000000,32100000000,32490000000,32050000000,32200000000,2413023
1530489600000000000,32150000000,32305000000,32005000000,32200000000,2704784
1530576000000000000,32300000000,32790000000,32180000000,32680000000,2654603
1530748800000000000,32750000000,32830000000,32470000000,32570000000,2197864
1530835200000000000,32640000000,32735000000,32460000000,32690000000,2898522
1531094400000000000,32340000000,32390000000,32120000000,32170000000,2272547
1531180800000000000,32200000000,32500000000,32135000000,32250000000,2185694
