ts_event,open,high,low,close,volume
1525132800000000000,118750000000,118940000000,118230000000,118540000000,2536523
1525219200000000000,118050000000,118860000000,118050000000,118300000000,1035879
1525305600000000000,118740000000,119300000000,118690000000,119000000000,1885924
1525392000000000000,119170000000,119560000000,118490000000,118840000000,1501436
1525651200000000000,118820000000,119200000000,118735000000,118890000000,1990786
1525737600000000000,118820000000,119230000000,118310000000,119230000000,1451850
1525824000000000000,118290000000,118410000000,117980000000,118110000000,2411001
1525910400000000000,118270000000,119070000000,118020000000,118910000000,2736727
1525996800000000000,119260000000,119430000000,118820000000,119220000000,1337635
1526256000000000000,118930000000,119000000000,118580000000,119000000000,1623894
1526342400000000000,118220000000,118220000000,116700000000,117300000000,3841156
1526428800000000000,117510000000,117580000000,116760000000,116950000000,1821207
1526515200000000000,116750000000,116815000000,116090000000,116260000000,2379998
1526601600000000000,116550000000,117285000000,116460000000,117250000000,2684857
1526860800000000000,117140000000,117370000000,116950000000,117270000000,1547147
1526947200000000000,117100000000,117345000000,116860000000,117160000000,1306014
1527033600000000000,117390000000,118360000000,117390000000,118360000000,3072088
1527120000000000000,118080000000,119050000000,118080000000,118830000000,2419948
1527206400000000000,119270000000,119830000000,119270000000,119750000000,2791976
1527552000000000000,119990000000,122520000000,119990000000,122120000000,6116909
1527638400000000000,121600000000,121600000000,120360000000,121100000000,3602738
1527724800000000000,120910000000,121980000000,120910000000,121050000000,3174154
1527811200000000000,120590000000,120700000000,119850000000,120010000000,2480739
1528070400000000000,120110000000,120140000000,119250000000,119250000000,2146149
1528156800000000000,119830000000,120170000000,119560000000,119560000000,1846204
1528243200000000000,119150000000,119170000000,118430000000,118890000000,2447781
1528329600000000000,118260000000,120490000000,118260000000,119840000000,4251901
1528416000000000000,119900000000,119900000000,119410000000,119430000000,2214751
1528675200000000000,119280000000,119400000000,118950000000,119310000000,2095838
1528761600000000000,119240000000,119570000000,118840000000,119570000000,1767156
1528848000000000000,119500000000,119640000000,118640000000,119400000000,2735305
1528934400000000000,119810000000,120320000000,119490000000,120220000000,3441275
1529020800000000000,120590000000,121090000000,120280000000,120380000000,2540253
1529280000000000000,120660000000,120660000000,120050000000,120400000000,1530226
1529366400000000000,121110000000,121250000000,120710000000,120740000000,1864514
1529452800000000000,120710000000,120840000000,119800000000,119840000000,2451847
1529539200000000000,120100000000,120740000000,119970000000,120550000000,2361060
1529625600000000000,120270000000,120670000000,119940000000,120670000000,1252252
1529884800000000000,120920000000,121110000000,120600000000,120850000000,2507833
1529971200000000000,120920000000,121100000000,120670000000,120920000000,1825069
1530057600000000000,121550000000,122200000000,121190000000,122200000000,2471975
1530144000000000000,122120000000,122240000000,121830000000,122080000000,1899273
1530230400000000000,122110000000,122500000000,121520000000,121560000000,2993616
1530489600000000000,121890000000,121900000000,121295000000,121340000000,1912567
1530576000000000000,121250000000,122120000000,121250000000,122120000000,1561324
1530748800000000000,121520000000,122520000000,121520000000,122350000000,1357428
1530835200000000000,122830000000,122910000000,122490000000,122610000000,1362519
1531094400000000000,122290000000,122290000000,121900000000,121980000000,2018098
1531180800000000000,121860000000,122380000000,121810000000,122360000000,1903291
1531267200000000000,122440000000,122550000000,122090000000,122330000000,1903517
1531353600000000000,122230000000,122500000000,122050000000,122500000000,2105006
1531440000000000000,122650000000,122860000000,122470000000,122810000000,1427412
1531699200000000000,122630000000,122680000000,121640000000,122180000000,2042938
1531785600000000000,122320000000,122380000000,121910000000,121990000000,893187
1531872000000000000,122030000000,122210000000,121390000000,121420000000,1853979
1531958400000000000,121430000000,122440000000,121330000000,122190000000,2073057
1532044800000000000,121960000000,122010000000,120710000000,120770000000,3151421
1532304000000000000,120750000000,120830000000,119190000000,119380000000,4184190
1532390400000000000,119430000000,119810000000,119150000000,119720000000,2340992
1532476800000000000,119980000000,120260000000,119230000000,119400000000,2057356
1532563200000000000,119400000000,119880000000,119010000000,119280000000,1668127
1532649600000000000,119320000000,119870000000,119280000000,119590000000,1429380
1532908800000000000,119050000000,119400000000,118970000000,119140000000,1745351
1532995200000000000,119800000000,120100000000,119560000000,119680000000,1584621
1533081600000000000,118930000000,118930000000,118070000000,118430000000,3470122
1533168000000000000,118930000000,118930000000,118300000000,118660000000,1314366
1533254400000000000,118750000000,119350000000,118740000000,119350000000,1804759
1533513600000000000,119200000000,119840000000,119200000000,119300000000,1179703
1533600000000000000,119060000000,119110000000,118570000000,118660000000,1267620
1533686400000000000,118770000000,119020000000,118470000000,118790000000,1432548
1533772800000000000,118830000000,119830000000,118830000000,119780000000,2271404
1533859200000000000,120290000000,121040000000,120110000000,120630000000,2435351
1534118400000000000,120490000000,120900000000,120210000000,120430000000,2908884
1534204800000000000,120170000000,120560000000,120000000000,120000000000,1100971
1534291200000000000,120640000000,121130000000,120540000000,120720000000,1980248
1534377600000000000,120420000000,120925000000,120290000000,120850000000,1392615
1534464000000000000,120980000000,121380000000,120760000000,121220000000,993427
1534723200000000000,121080000000,121900000000,121020000000,121730000000,1418324
1534809600000000000,121350000000,121740000000,121070000000,121650000000,1515978
1534896000000000000,121590000000,122060000000,121580000000,121810000000,1460299
1534982400000000000,121820000000,122130000000,121790000000,121860000000,2028415
1535068800000000000,121920000000,122330000000,121490000000,122180000000,1812744
1535328000000000000,122000000000,122000000000,121520000000,121650000000,1810690
1535414400000000000,121370000000,121370000000,120690000000,120840000000,1442277
1535500800000000000,120970000000,121145000000,120615000000,120960000000,2262621
1535587200000000000,121210000000,121450000000,121090000000,121330000000,1836086
1535673600000000000,121630000000,121950000000,120895000000,121120000000,2104739
1536019200000000000,120950000000,120950000000,119760000000,119810000000,8000940
1536105600000000000,120010000000,120200000000,119550000000,119760000000,2921755
1536192000000000000,119490000000,120320000000,119460000000,120200000000,5417433
1536278400000000000,120000000000,120070000000,118990000000,119160000000,5377044
1536537600000000000,119230000000,119570000000,119150000000,119530000000,2597377
1536624000000000000,119290000000,119290000000,118610000000,118700000000,1576012
1536710400000000000,118950000000,119170000000,118900000000,119010000000,984282
1536796800000000000,118820000000,119570000000,118800000000,118960000000,1742568
1536883200000000000,118890000000,118910000000,118300000000,118500000000,1938971
1537142400000000000,118310000000,118810000000,118050000000,118090000000,1879622
1537228800000000000,118360000000,118370000000,117120000000,117290000000,2636411
1537315200000000000,117180000000,117300000000,116200000000,116910000000,3156188
1537401600000000000,116740000000,117360000000,116400000000,117360000000,1955648
1537488000000000000,116980000000,117370000000,116800000000,117360000000,1677383
1537747200000000000,116820000000,117270000000,116680000000,116690000000,1898721
1537833600000000000,116280000000,116740000000,116280000000,116710000000,2320790
1537920000000000000,116880000000,117640000000,116670000000,117550000000,2938049
1538006400000000000,117700000000,117700000000,117110000000,117550000000,1843454
1538092800000000000,117950000000,118040000000,117090000000,117090000000,4476897
1538352000000000000,116350000000,116830000000,116120000000,116270000000,11544534
1538438400000000000,116740000000,117130000000,116590000000,116600000000,2600529
1538524800000000000,116520000000,116520000000,114100000000,114100000000,6306579
1538611200000000000,113500000000,114390000000,113320000000,114030000000,5372527
1538697600000000000,113810000000,114000000000,112620000000,113000000000,6685519
1538956800000000000,113130000000,113240000000,112640000000,112680000000,1672432
1539043200000000000,112670000000,113850000000,112670000000,113760000000,3049937
1539129600000000000,113400000000,114100000000,112790000000,113900000000,4314040
1539216000000000000,114000000000,115150000000,113690000000,114820000000,4523416
1539302400000000000,114500000000,115010000000,114200000000,114700000000,1931221
1539561600000000000,114680000000,114810000000,114300000000,114510000000,2241678
1539648000000000000,114150000000,114715000000,114150000000,114510000000,1325669
1539734400000000000,114620000000,114920000000,113590000000,113590000000,1788904
1539820800000000000,113790000000,114380000000,113550000000,114020000000,1799989
1539907200000000000,113690000000,113950000000,113420000000,113700000000,2598960
1540166400000000000,113800000000,114080000000,113500000000,113500000000,1010263
1540252800000000000,114250000000,115020000000,113840000000,113930000000,2731719
1540339200000000000,114390000000,114815000000,114000000000,114650000000,3712434
1540425600000000000,114330000000,114740000000,114090000000,114610000000,3111026
