ts_event,open,high,low,close,volume
1525132800000000000,60980000000,61190000000,58170000000,59750000000,2761289
1525219200000000000,59870000000,60190000000,55540000000,56550000000,3507285
1525305600000000000,56470000000,57080000000,55100000000,56100000000,2785938
1525392000000000000,55810000000,57740000000,55800000000,57400000000,1747056
1525651200000000000,58110000000,58110000000,56040000000,56520000000,1537687
1525737600000000000,56700000000,56920000000,55410000000,55500000000,1360761
1525824000000000000,55850000000,56430000000,55575000000,56250000000,1572298
1525910400000000000,56070000000,57280000000,56070000000,56850000000,1406939
1525996800000000000,57040000000,57340000000,56250000000,56500000000,848562
1526256000000000000,56390000000,56660000000,56120000000,56450000000,899462
1526342400000000000,56100000000,57020000000,56020000000,56380000000,1110500
1526428800000000000,56380000000,56880000000,56270000000,56580000000,1104983
1526515200000000000,56520000000,56760000000,56405000000,56700000000,730424
1526601600000000000,56670000000,57500000000,56510000000,56930000000,1373214
1526860800000000000,57000000000,57320000000,56570000000,57320000000,630364
1526947200000000000,57520000000,57600000000,56910000000,57050000000,887019
1527033600000000000,56610000000,57280000000,56460000000,56750000000,1068985
1527120000000000000,57160000000,57370000000,56860000000,57010000000,1000346
1527206400000000000,57100000000,57210000000,56580000000,56590000000,697124
1527552000000000000,56300000000,57130000000,56000000000,56650000000,1509874
1527638400000000000,56700000000,57060000000,56220000000,56370000000,1828371
1527724800000000000,56560000000,56560000000,55230000000,55720000000,3085412
1527811200000000000,55890000000,57050000000,55890000000,56870000000,1285571
1528070400000000000,57150000000,57440000000,56620000000,56850000000,1100904
1528156800000000000,56990000000,57590000000,56880000000,57160000000,616057
1528243200000000000,57340000000,57630000000,56900000000,57610000000,911296
1528329600000000000,57600000000,58200000000,57450000000,57790000000,1074500
1528416000000000000,57470000000,57970000000,56970000000,57800000000,927080
1528675200000000000,57600000000,58170000000,57410000000,57990000000,752365
1528761600000000000,57910000000,59490000000,57760000000,59180000000,669445
1528848000000000000,59000000000,59420000000,58390000000,58710000000,1825396
1528934400000000000,58810000000,59690000000,58620000000,59450000000,1081493
1529020800000000000,59490000000,60080000000,59370000000,60010000000,2012054
1529280000000000000,59590000000,60500000000,59260000000,60500000000,1124871
1529366400000000000,59700000000,60880000000,59430000000,60540000000,1156660
1529452800000000000,60630000000,60700000000,60080000000,60340000000,930706
1529539200000000000,60240000000,60690000000,59460000000,60000000000,1008904
1529625600000000000,60320000000,61160000000,60070000000,60790000000,1293952
1529884800000000000,60700000000,60860000000,59480000000,59730000000,1203017
1529971200000000000,59710000000,59810000000,58840000000,59810000000,830998
1530057600000000000,59710000000,60450000000,59180000000,59840000000,1016089
1530144000000000000,59780000000,60190000000,58680000000,59860000000,1065485
1530230400000000000,59880000000,60040000000,59470000000,59750000000,930690
1530489600000000000,59460000000,59950000000,59050000000,59910000000,756526
1530576000000000000,60170000000,60170000000,58950000000,59140000000,1216611
1530748800000000000,59180000000,60120000000,59180000000,60030000000,1155328
1530835200000000000,60070000000,61360000000,59900000000,61140000000,1201012
1531094400000000000,61000000000,61620000000,60990000000,61340000000,953601
1531180800000000000,61410000000,61510000000,60990000000,61150000000,449879
1531267200000000000,60280000000,60950000000,59810000000,60180000000,711940
1531353600000000000,60280000000,61620000000,60030000000,61580000000,1138784
1531440000000000000,61180000000,61800000000,60990000000,61680000000,1075445
1531699200000000000,61510000000,62090000000,61510000000,61640000000,683779
1531785600000000000,61440000000,61960000000,61110000000,61210000000,469279
1531872000000000000,61230000000,61490000000,60495000000,60990000000,693030
1531958400000000000,60510000000,60510000000,59240000000,59400000000,882875
1532044800000000000,59270000000,59570000000,59080000000,59250000000,752642
1532304000000000000,59210000000,59290000000,58300000000,58560000000,667136
1532390400000000000,58510000000,59100000000,57900000000,58780000000,739927
1532476800000000000,58780000000,59310000000,58520000000,58870000000,849520
1532563200000000000,58990000000,59795000000,58890000000,59370000000,657344
1532649600000000000,59360000000,60670000000,59310000000,59610000000,752583
1532908800000000000,59500000000,60700000000,59490000000,59820000000,826876
1532995200000000000,59810000000,60195000000,59490000000,60000000000,1115827
1533081600000000000,59940000000,60250000000,59000000000,60230000000,1264858
1533168000000000000,59500000000,62235000000,59500000000,62120000000,1889052
1533254400000000000,62060000000,62260000000,61240000000,61290000000,883509
1533513600000000000,61560000000,66390000000,61560000000,66200000000,4133488
1533600000000000000,66340000000,66340000000,65130000000,65400000000,1783592
1533686400000000000,65350000000,65670000000,64470000000,65470000000,1162175
1533772800000000000,65570000000,65720000000,64840000000,64950000000,752937
1533859200000000000,64890000000,65190000000,64075000000,64980000000,967214
1534118400000000000,65010000000,65795000000,64650000000,65700000000,948829
