ts_event,open,high,low,close,volume
1525132800000000000,68160000000,70000000000,66460000000,69960000000,332838
1525219200000000000,69930000000,71790000000,68980000000,69630000000,304511
1525305600000000000,69800000000,70050000000,66960000000,69400000000,413925
1525392000000000000,69100000000,72700000000,67790000000,71540000000,340414
1525651200000000000,72390000000,74580000000,72190000000,73530000000,468677
1525737600000000000,73050000000,74900000000,72950000000,74900000000,355425
1525824000000000000,75510000000,76330000000,74050000000,75930000000,361078
1525910400000000000,76140000000,77880000000,75900000000,77100000000,316888
1525996800000000000,77630000000,77750000000,76250000000,77600000000,268246
1526256000000000000,77660000000,78570000000,76200000000,76720000000,290404
1526342400000000000,76470000000,76980000000,74990000000,76110000000,343992
1526428800000000000,76560000000,79450000000,76400000000,78880000000,324033
1526515200000000000,78800000000,80490000000,78600000000,80270000000,348955
1526601600000000000,80030000000,80880000000,79720000000,80050000000,194774
1526860800000000000,81020000000,82250000000,80780000000,82020000000,231384
1526947200000000000,82280000000,82470000000,79930000000,80010000000,314452
1527033600000000000,78900000000,80830000000,78900000000,80390000000,274255
1527120000000000000,80730000000,80920000000,78440000000,80810000000,292494
1527206400000000000,81100000000,81100000000,79610000000,80100000000,262461
1527552000000000000,78530000000,80680000000,77630000000,79600000000,346230
1527638400000000000,80150000000,83840000000,80110000000,83000000000,225718
1527724800000000000,83650000000,84030000000,80830000000,81680000000,232732
1527811200000000000,82330000000,83770000000,82150000000,83360000000,318385
1528070400000000000,84220000000,84330000000,82200000000,84160000000,411637
1528156800000000000,84540000000,85960000000,83700000000,85750000000,291719
1528243200000000000,86000000000,87990000000,85580000000,87550000000,349746
1528329600000000000,87690000000,88120000000,85000000000,86600000000,416792
1528416000000000000,85680000000,87100000000,85220000000,86770000000,221578
1528675200000000000,86810000000,87890000000,86470000000,87580000000,332677
1528761600000000000,86880000000,89160000000,86880000000,88670000000,377046
1528848000000000000,88800000000,89020000000,87090000000,87550000000,447937
1528934400000000000,87230000000,89090000000,87050000000,88880000000,492035
1529020800000000000,88250000000,89130000000,86860000000,88660000000,501659
1529280000000000000,87430000000,90410000000,87000000000,89090000000,452310
1529366400000000000,87380000000,90400000000,86870000000,90130000000,697268
1529452800000000000,91160000000,92650000000,90750000000,92470000000,294851
1529539200000000000,92230000000,92760000000,88770000000,89640000000,481692
1529625600000000000,90220000000,90820000000,87990000000,89200000000,476326
1529884800000000000,87830000000,88090000000,83030000000,84710000000,590122
1529971200000000000,84530000000,86870000000,83950000000,85990000000,422495
1530057600000000000,84690000000,86650000000,81660000000,82230000000,461702
1530144000000000000,82360000000,83000000000,80090000000,82710000000,486471
1530230400000000000,83690000000,84240000000,82050000000,82050000000,441153
1530489600000000000,81040000000,84240000000,80370000000,84070000000,368226
1530576000000000000,84280000000,86060000000,84280000000,85100000000,122947
1530748800000000000,86020000000,87850000000,84710000000,87250000000,367199
1530835200000000000,87680000000,90390000000,86930000000,90320000000,240052
1531094400000000000,91260000000,92030000000,90250000000,92030000000,306338
1531180800000000000,92110000000,92550000000,88380000000,88570000000,454485
1531267200000000000,88450000000,90530000000,88090000000,88380000000,369382
1531353600000000000,89230000000,89910000000,87460000000,89400000000,386033
1531440000000000000,88760000000,90650000000,88650000000,88800000000,317664
1531699200000000000,88930000000,89500000000,86300000000,87490000000,373071
1531785600000000000,87770000000,89410000000,87300000000,88610000000,267875
1531872000000000000,88400000000,89530000000,87250000000,89400000000,351563
1531958400000000000,88850000000,91400000000,88290000000,91040000000,417054
1532044800000000000,90710000000,91410000000,89950000000,90260000000,341426
1532304000000000000,89720000000,91170000000,89040000000,90850000000,263028
1532390400000000000,91500000000,92140000000,86540000000,87280000000,489085
1532476800000000000,87590000000,88770000000,86430000000,88360000000,352057
1532563200000000000,88430000000,91390000000,88430000000,90150000000,464243
1532649600000000000,90580000000,90660000000,84160000000,84340000000,518628
1532908800000000000,84000000000,85970000000,83000000000,83400000000,308196
1532995200000000000,83380000000,86830000000,83380000000,86000000000,334002
1533081600000000000,85760000000,86250000000,83600000000,85570000000,352558
1533168000000000000,84380000000,87770000000,83570000000,87650000000,329821
1533254400000000000,87520000000,88400000000,85250000000,86390000000,359106
1533513600000000000,86570000000,88130000000,85700000000,88050000000,300122
1533600000000000000,88490000000,89650000000,88300000000,88630000000,312220
1533686400000000000,88400000000,88860000000,86570000000,88070000000,378586
1533772800000000000,88410000000,89980000000,88250000000,88730000000,338138
1533859200000000000,87680000000,89860000000,87180000000,88170000000,373077
1534118400000000000,86820000000,88870000000,85530000000,86700000000,446388
1534204800000000000,87740000000,89670000000,87060000000,89520000000,384228
1534291200000000000,89250000000,89250000000,84300000000,85980000000,617827
1534377600000000000,86810000000,88910000000,86660000000,88180000000,472292
1534464000000000000,87850000000,89530000000,86990000000,89300000000,369707
1534723200000000000,90000000000,90490000000,88440000000,89840000000,449313
