ts_event,open,high,low,close,volume
1525132800000000000,143300000000,151400000000,141140000000,150240000000,1255853
1525219200000000000,149990000000,150610000000,144180000000,144850000000,1216438
1525305600000000000,145500000000,147000000000,138470000000,145650000000,1634072
1525392000000000000,146440000000,154650000000,143180000000,154050000000,1923959
1525651200000000000,155890000000,158930000000,155380000000,156650000000,1577642
1525737600000000000,157010000000,157940000000,153510000000,156510000000,1412132
1525824000000000000,157550000000,162500000000,156100000000,161940000000,1218137
1525910400000000000,163100000000,167300000000,162000000000,166610000000,1228818
1525996800000000000,166820000000,167700000000,164300000000,166450000000,1175007
1526256000000000000,167800000000,170460000000,166360000000,167380000000,1141125
1526342400000000000,166430000000,166770000000,159150000000,161160000000,1668769
1526428800000000000,162490000000,166000000000,161200000000,165000000000,795334
1526515200000000000,163170000000,166690000000,160550000000,163200000000,909163
1526601600000000000,163400000000,164030000000,159680000000,160350000000,756484
1526860800000000000,163280000000,166230000000,161020000000,162960000000,1099914
1526947200000000000,164050000000,166090000000,161590000000,162340000000,997460
1527033600000000000,159500000000,166520000000,157400000000,165850000000,1303985
1527120000000000000,56410000000,56420000000,53740000000,55610000000,1822332
1527206400000000000,55790000000,56160000000,55080000000,55560000000,1909613
1527552000000000000,54840000000,55770000000,53830000000,54850000000,2608244
1527638400000000000,55460000000,56280000000,55050000000,55850000000,2252169
1527724800000000000,56240000000,56970000000,55440000000,55960000000,2234919
1527811200000000000,56310000000,58570000000,56280000000,58400000000,2366750
1528070400000000000,59060000000,60100000000,58800000000,60000000000,1798409
1528156800000000000,60190000000,60950000000,59810000000,60760000000,1529475
1528243200000000000,60910000000,61860000000,59890000000,61620000000,1680720
1528329600000000000,61970000000,61970000000,59240000000,60220000000,1960068
1528416000000000000,59040000000,60390000000,58300000000,60130000000,1449812
1528675200000000000,60180000000,61050000000,59800000000,60720000000,1113185
1528761600000000000,60850000000,61880000000,60280000000,61880000000,1476427
1528848000000000000,61550000000,62930000000,61140000000,61530000000,2032769
1528934400000000000,61020000000,63660000000,60960000000,63400000000,2364867
1529020800000000000,62940000000,63370000000,61800000000,62750000000,2503338
1529280000000000000,61730000000,62750000000,60930000000,61500000000,2003102
1529366400000000000,60150000000,62210000000,59620000000,62210000000,3175784
1529452800000000000,62440000000,64130000000,62400000000,63760000000,2321628
1529539200000000000,63740000000,63980000000,61250000000,61500000000,3364409
1529625600000000000,62030000000,62500000000,60610000000,61150000000,1649826
1529884800000000000,60100000000,60500000000,55490000000,57080000000,5266839
1529971200000000000,57170000000,58780000000,57110000000,58150000000,2725435
