ts_event,open,high,low,close,volume
1525161600000000000,296640000000,296640000000,296640000000,296640000000,1
1525168800000000000,292510000000,293200000000,292500000000,292900000000,121
1525172400000000000,292900000000,292900000000,292900000000,292900000000,79
1525176000000000000,294000000000,294500000000,293230000000,294100000000,331
1525179600000000000,293900000000,298300000000,293170000000,298030000000,181441
1525183200000000000,297930000000,298680000000,294540000000,294670000000,191955
1525186800000000000,294600000000,295930000000,293400000000,294510000000,151899
1525190400000000000,294700000000,296760000000,294700000000,295520000000,91917
1525194000000000000,295460000000,295670000000,294250000000,295670000000,77070
1525197600000000000,295585000000,297010000000,294700000000,296770000000,121501
1525201200000000000,296900000000,300820000000,296520000000,299320000000,419712
1525204800000000000,299920000000,301020000000,299360000000,300620000000,291799
1525208400000000000,300820000000,301050000000,300620000000,300940000000,3167
1525212000000000000,300730000000,300800000000,300110000000,300600000000,870
1525215600000000000,300600000000,301050000000,300410000000,301050000000,1235
1525248000000000000,300470000000,300500000000,300000000000,300000000000,1303
1525251600000000000,300000000000,300000000000,298260000000,299000000000,650
1525255200000000000,298160000000,298500000000,296300000000,297500000000,3430
1525258800000000000,297500000000,300500000000,297500000000,299580000000,2670
1525262400000000000,299780000000,299780000000,298930000000,299100000000,4147
1525266000000000000,299240000000,302580000000,297990000000,299350000000,308106
1525269600000000000,299460000000,301700000000,299310000000,299940000000,238501
1525273200000000000,299980000000,301810000000,299140000000,300460000000,203515
1525276800000000000,300480000000,301000000000,298010000000,299140000000,206891
1525280400000000000,299250000000,302440000000,298720000000,302440000000,237615
1525284000000000000,302410000000,306850000000,302320000000,305000000000,408093
1525287600000000000,305070000000,305800000000,300910000000,301220000000,533099
1525291200000000000,301150000000,311640000000,298000000000,302000000000,287672
1525294800000000000,301900000000,301990000000,296000000000,299190000000,48152
1525298400000000000,299000000000,299000000000,282220000000,287300000000,110328
1525302000000000000,287100000000,287800000000,285010000000,287500000000,39092
1525334400000000000,289150000000,290000000000,288500000000,289700000000,4190
1525338000000000000,289300000000,290270000000,289110000000,289670000000,7011
1525341600000000000,289670000000,290500000000,285570000000,286080000000,17743
1525345200000000000,286090000000,287300000000,282000000000,282690000000,69445
1525348800000000000,282420000000,282750000000,277000000000,278250000000,238682
1525352400000000000,278250000000,285880000000,276780000000,282440000000,1462793
1525356000000000000,282440000000,284590000000,278000000000,279230000000,972097
1525359600000000000,279140000000,280770000000,275250000000,276520000000,798399
1525363200000000000,276770000000,281500000000,276000000000,281370000000,434776
1525366800000000000,281370000000,284000000000,280060000000,282830000000,326890
1525370400000000000,282830000000,284690000000,280860000000,284150000000,319704
1525374000000000000,284200000000,286000000000,283330000000,284450000000,531198
1525377600000000000,284450000000,284610000000,283600000000,283950000000,85847
1525381200000000000,283700000000,284200000000,283250000000,284000000000,1958
1525384800000000000,284000000000,284000000000,283650000000,283660000000,748
1525388400000000000,283750000000,283760000000,283000000000,283000000000,2508
1525420800000000000,284400000000,285000000000,283500000000,284500000000,1146
1525424400000000000,284500000000,285010000000,283940000000,285010000000,1647
1525428000000000000,285010000000,285010000000,283060000000,283500000000,375
1525431600000000000,283500000000,284510000000,283500000000,284000000000,2103
1525435200000000000,284100000000,284350000000,282310000000,282900000000,10080
1525438800000000000,283200000000,284430000000,279500000000,282750000000,384885
1525442400000000000,282700000000,289320000000,281850000000,287830000000,427814
1525446000000000000,287920000000,288350000000,285620000000,286410000000,205431
1525449600000000000,286500000000,288810000000,285290000000,288080000000,190528
1525453200000000000,288080000000,291930000000,287960000000,291030000000,261855
1525456800000000000,290930000000,296790000000,290530000000,295860000000,331227
1525460400000000000,295900000000,296790000000,293220000000,293980000000,488644
1525464000000000000,294090000000,294470000000,293760000000,294090000000,99009
1525467600000000000,293810000000,294230000000,293450000000,294000000000,758
1525471200000000000,293800000000,293900000000,293520000000,293520000000,96
1525474800000000000,293400000000,293970000000,293010000000,293970000000,581
1525680000000000000,293380000000,295000000000,293250000000,294300000000,158
1525683600000000000,295300000000,295350000000,293900000000,293900000000,476
1525687200000000000,293600000000,293880000000,293250000000,293500000000,725
1525690800000000000,293880000000,302740000000,293880000000,299000000000,24317
1525694400000000000,299000000000,300200000000,296510000000,297450000000,13031
1525698000000000000,297450000000,299750000000,295170000000,297120000000,415006
1525701600000000000,297120000000,302200000000,295480000000,300750000000,485593
1525705200000000000,300600000000,305070000000,300210000000,304200000000,434505
1525708800000000000,304190000000,305950000000,302770000000,303500000000,259471
1525712400000000000,303500000000,303760000000,301780000000,302470000000,164089
1525716000000000000,302430000000,303140000000,299480000000,299680000000,170384
1525719600000000000,299730000000,303670000000,299250000000,302730000000,458666
1525723200000000000,302770000000,302920000000,302300000000,302720000000,48583
1525726800000000000,302720000000,303520000000,302300000000,303100000000,3473
1525730400000000000,303220000000,303480000000,303200000000,303250000000,1563
1525734000000000000,303250000000,303980000000,303020000000,303980000000,3069
1525766400000000000,303000000000,303000000000,302300000000,302300000000,462
1525770000000000000,301500000000,301500000000,300140000000,300160000000,1474
1525773600000000000,300600000000,300800000000,300100000000,300780000000,2459
