ts_event,open,high,low,close,volume
1525132800000000000,101100000000,103750000000,100740000000,103750000000,1452330
1525219200000000000,103260000000,104220000000,101890000000,102900000000,1877193
1525305600000000000,101820000000,104290000000,100570000000,103800000000,1729674
1525392000000000000,102500000000,104940000000,101870000000,104940000000,1982447
1525651200000000000,105070000000,105170000000,103970000000,104690000000,1232643
1525737600000000000,104300000000,105620000000,104060000000,105450000000,1936921
1525824000000000000,106000000000,107710000000,105730000000,107500000000,1889534
1525910400000000000,108000000000,110040000000,107810000000,109910000000,1666691
1525996800000000000,109820000000,110760000000,109000000000,109260000000,1492558
1526256000000000000,109350000000,110990000000,109350000000,110620000000,1521412
1526342400000000000,110010000000,110860000000,108350000000,109530000000,1873634
1526428800000000000,109710000000,111570000000,109050000000,111350000000,1516824
1526515200000000000,111130000000,111650000000,110000000000,110000000000,1053223
1526601600000000000,109750000000,111080000000,109340000000,110540000000,1407991
1526860800000000000,111770000000,112270000000,109900000000,110500000000,1660294
1526947200000000000,110410000000,111810000000,110410000000,111810000000,1140283
1527033600000000000,110030000000,111080000000,108900000000,111000000000,1254623
1527120000000000000,111030000000,111200000000,109570000000,110750000000,1206302
1527206400000000000,110640000000,111760000000,110540000000,111320000000,1579352
1527552000000000000,110670000000,111760000000,110010000000,110950000000,1373651
1527638400000000000,111240000000,112350000000,111180000000,111850000000,1270221
1527724800000000000,111890000000,112880000000,111500000000,111910000000,3377642
1527811200000000000,112550000000,114800000000,112330000000,114570000000,1666758
1528070400000000000,115110000000,116380000000,114310000000,115700000000,1340271
1528156800000000000,116010000000,117930000000,115830000000,117480000000,2027561
1528243200000000000,117660000000,118120000000,116920000000,118030000000,1501607
1528329600000000000,118500000000,118500000000,116140000000,117240000000,1913171
1528416000000000000,116290000000,116650000000,115280000000,115280000000,1817443
1528675200000000000,115020000000,115820000000,114490000000,115200000000,1782189
1528761600000000000,115290000000,115750000000,114580000000,115460000000,1873549
1528848000000000000,115350000000,115610000000,113710000000,114000000000,2201686
1528934400000000000,113800000000,115540000000,113800000000,114720000000,1324585
1529020800000000000,114300000000,116010000000,113870000000,115890000000,4100106
1529280000000000000,114690000000,115190000000,113030000000,115190000000,1104683
1529366400000000000,112800000000,113905000000,112200000000,113640000000,1257486
1529452800000000000,114400000000,115110000000,113820000000,114980000000,1235944
1529539200000000000,114600000000,114800000000,111610000000,112670000000,1478609
