ts_event,open,high,low,close,volume
1608076800000000000,26000000000,30650000000,22720000000,30000000000,4367873
1608163200000000000,30290000000,39840000000,28250000000,35400000000,1618262
1608249600000000000,35770000000,48660000000,35100000000,43300000000,1416998
1608508800000000000,43180000000,47990000000,40000000000,41500000000,578243
1608595200000000000,41100000000,48080000000,40670000000,47750000000,1560431
1608681600000000000,47840000000,51390000000,43210000000,45750000000,815300
1608768000000000000,46280000000,47470000000,42580000000,44100000000,202682
1609113600000000000,44280000000,45890000000,38050000000,42780000000,445490
1609200000000000000,42500000000,42980000000,39600000000,40050000000,153960
1609286400000000000,40730000000,41460000000,38140000000,38850000000,264601
1609372800000000000,39070000000,40940000000,36260000000,40700000000,209545
1609718400000000000,40740000000,46450000000,38220000000,44800000000,294233
1609804800000000000,43950000000,53630000000,43950000000,49010000000,750252
1609891200000000000,48250000000,57000000000,45200000000,53300000000,773744
1609977600000000000,55000000000,61200000000,54400000000,56840000000,353969
1610064000000000000,60000000000,60000000000,50350000000,52990000000,283896
1610323200000000000,51500000000,56000000000,50550000000,54690000000,295195
1610409600000000000,55000000000,63500000000,55000000000,62930000000,469293
1610496000000000000,62480000000,69500000000,57680000000,59300000000,414296
1610582400000000000,59590000000,67440000000,59060000000,62380000000,268942
1610668800000000000,63170000000,63170000000,55600000000,56370000000,334885
1611014400000000000,57000000000,61500000000,53000000000,54880000000,483906
1611100800000000000,54500000000,56300000000,53290000000,55500000000,205937
1611187200000000000,55630000000,66000000000,55050000000,65500000000,448161
1611273600000000000,63770000000,64900000000,58530000000,64020000000,342199
1611532800000000000,65020000000,72500000000,64200000000,67960000000,448365
1611619200000000000,69000000000,69690000000,63270000000,64450000000,387707
1611705600000000000,64400000000,70800000000,58010000000,62000000000,494494
1611792000000000000,64500000000,67275000000,62010000000,64600000000,174779
1611878400000000000,65150000000,67400000000,60305000000,62500000000,251098
1612137600000000000,62180000000,70850000000,61870000000,70240000000,242317
1612224000000000000,70250000000,80000000000,70200000000,75750000000,312800
1612310400000000000,74000000000,81890000000,74000000000,79750000000,154304
1612396800000000000,79120000000,81300000000,74220000000,76350000000,161088
1612483200000000000,75750000000,79780000000,74240000000,75420000000,93649
1612742400000000000,75750000000,78340000000,74220000000,76200000000,148833
1612828800000000000,75990000000,82730000000,75920000000,80310000000,204648
1612915200000000000,80230000000,92900000000,78710000000,92000000000,249616
1613001600000000000,93000000000,105580000000,92200000000,95250000000,294849
1613088000000000000,96900000000,102970000000,92750000000,102630000000,172578
1613433600000000000,104480000000,105180000000,90300000000,93960000000,255779
1613520000000000000,92300000000,94200000000,84250000000,88260000000,255382
1613606400000000000,87240000000,87240000000,78510000000,82150000000,286424
1613692800000000000,83930000000,92950000000,83500000000,91500000000,201218
1613952000000000000,86560000000,89550000000,75050000000,78000000000,309106
1614038400000000000,74770000000,75240000000,61000000000,73750000000,395540
1614124800000000000,73060000000,83110000000,72000000000,74700000000,295674
1614211200000000000,74520000000,79430000000,66100000000,67650000000,379652
1614297600000000000,67960000000,71970000000,63350000000,65750000000,278924
1614556800000000000,69900000000,73090000000,65870000000,67740000000,313244
1614643200000000000,66650000000,67900000000,58250000000,60600000000,437400
1614729600000000000,62000000000,63800000000,55600000000,57340000000,378048
1614816000000000000,57000000000,59480000000,49160000000,53880000000,572486
1614902400000000000,54740000000,57000000000,42550000000,51000000000,597909
1615161600000000000,49100000000,52050000000,45050000000,47050000000,316125
1615248000000000000,49850000000,55360000000,48500000000,53870000000,474690
1615334400000000000,53270000000,58420000000,52100000000,53500000000,408282
1615420800000000000,57540000000,59700000000,54140000000,59000000000,359453
1615507200000000000,54540000000,58750000000,53500000000,58590000000,284804
1615766400000000000,60000000000,63080000000,56830000000,62790000000,355714
1615852800000000000,63600000000,64640000000,56820000000,60700000000,368025
1615939200000000000,56600000000,90800000000,54760000000,90160000000,770543
1616025600000000000,88000000000,124750000000,82000000000,109970000000,4223743
1616112000000000000,110800000000,128800000000,106760000000,125570000000,2721717
1616371200000000000,124850000000,170000000000,123170000000,164260000000,1889388
1616457600000000000,159780000000,164260000000,115520000000,118500000000,2324167
1616544000000000000,118480000000,133950000000,110210000000,111250000000,1023309
1616630400000000000,112280000000,130300000000,105950000000,123970000000,775930
1616716800000000000,127990000000,144850000000,118500000000,141200000000,604321
1616976000000000000,140000000000,156930000000,132560000000,134680000000,511234
1617062400000000000,134490000000,137300000000,122600000000,129730000000,325987
1617148800000000000,129280000000,137760000000,128000000000,129200000000,209701
1617235200000000000,128980000000,147410000000,128980000000,143330000000,352938
1617580800000000000,144280000000,156230000000,136000000000,139050000000,418699
1617667200000000000,140010000000,145780000000,138090000000,140000000000,248265
1617753600000000000,142000000000,142400000000,123860000000,126200000000,707232
1617840000000000000,125000000000,129000000000,119200000000,124750000000,592227
1617926400000000000,124020000000,134000000000,118010000000,126990000000,1300294
1618185600000000000,127290000000,128000000000,111130000000,113390000000,564863
1618272000000000000,113390000000,114990000000,102690000000,110500000000,791971
1618358400000000000,110460000000,115460000000,104320000000,106200000000,499625
1618444800000000000,106040000000,116960000000,105820000000,110200000000,462234
1618531200000000000,110400000000,112600000000,103010000000,104560000000,347478
1618790400000000000,105700000000,106640000000,93650000000,98000000000,730925
1618876800000000000,97550000000,100990000000,90420000000,91110000000,349640
1618963200000000000,92000000000,101330000000,89330000000,101250000000,312330
1619049600000000000,101250000000,108200000000,99290000000,101600000000,400838
1619136000000000000,101440000000,111950000000,101440000000,107510000000,406317
1619395200000000000,107380000000,114800000000,107000000000,112000000000,500163
1619481600000000000,111270000000,123100000000,111270000000,118140000000,635760
1619568000000000000,116360000000,120460000000,111310000000,114250000000,386857
1619654400000000000,115500000000,116970000000,103010000000,107110000000,474009
1619740800000000000,106000000000,112500000000,103770000000,109300000000,288691
1620000000000000000,110010000000,117990000000,105660000000,113000000000,331634
1620086400000000000,114200000000,116940000000,101100000000,107980000000,517308
1620172800000000000,107560000000,109250000000,97360000000,97550000000,349673
1620259200000000000,98000000000,98990000000,88370000000,92600000000,655465
1620345600000000000,92040000000,100780000000,92040000000,96480000000,399144
1620604800000000000,96000000000,96000000000,86230000000,88000000000,597858
1620691200000000000,87590000000,109550000000,81220000000,106820000000,953721
1620777600000000000,109000000000,115500000000,89000000000,93700000000,2544787
1620864000000000000,93760000000,97800000000,80880000000,85150000000,1321875
1620950400000000000,86140000000,104000000000,86140000000,102450000000,923409
1621209600000000000,99500000000,115890000000,96020000000,114850000000,867020
1621296000000000000,114990000000,124890000000,111480000000,118650000000,743069
1621382400000000000,116000000000,136700000000,108750000000,130250000000,955996
1621468800000000000,129830000000,145360000000,129400000000,138050000000,776863
1621555200000000000,139490000000,156000000000,137930000000,153800000000,695384
1621814400000000000,151520000000,164500000000,138000000000,140890000000,781868
1621900800000000000,139770000000,146500000000,132560000000,134500000000,430518
1621987200000000000,135000000000,149520000000,133030000000,145380000000,558725
1622073600000000000,146580000000,171500000000,138620000000,166700000000,980948
1622160000000000000,166000000000,169530000000,143720000000,148700000000,825200
1622505600000000000,151780000000,155250000000,136000000000,143750000000,771704
1622592000000000000,144490000000,159500000000,138070000000,155550000000,594016
1622678400000000000,155000000000,172010000000,145190000000,164950000000,1024050
1622764800000000000,166990000000,191500000000,160220000000,163900000000,1060070
1623024000000000000,165000000000,177940000000,163990000000,169950000000,596939
1623110400000000000,170000000000,181980000000,160000000000,161500000000,613501
1623196800000000000,163600000000,167250000000,150260000000,152300000000,700826
1623283200000000000,152600000000,155170000000,144000000000,148990000000,619084
1623369600000000000,150000000000,150000000000,125000000000,126800000000,2336283
1623628800000000000,128120000000,134760000000,116500000000,124700000000,3273383
1623715200000000000,125000000000,127750000000,117430000000,120350000000,1520934
1623801600000000000,120690000000,122000000000,114200000000,118650000000,1987541
1623888000000000000,119010000000,128300000000,118010000000,128000000000,2189747
1623974400000000000,128050000000,129400000000,120460000000,123400000000,1455855
1624233600000000000,124000000000,126000000000,118440000000,121480000000,1025727
1624320000000000000,121450000000,123290000000,115660000000,119600000000,1036826
1624406400000000000,119990000000,125800000000,119350000000,125800000000,1191615
1624492800000000000,126960000000,134500000000,122300000000,123020000000,1735915
1624579200000000000,124980000000,125000000000,117800000000,121700000000,1077958
1624838400000000000,122200000000,126990000000,120280000000,124380000000,914546
1624924800000000000,124630000000,126000000000,120780000000,122930000000,766213
1625011200000000000,122930000000,134310000000,120110000000,126700000000,3001312
1625097600000000000,127020000000,130780000000,122700000000,124200000000,1102761
1625184000000000000,123900000000,127880000000,118180000000,121210000000,953734
1625529600000000000,121210000000,123400000000,115900000000,119760000000,716477
1625616000000000000,120000000000,121550000000,114250000000,117390000000,463510
1625702400000000000,114510000000,122560000000,110800000000,121500000000,748922
1625788800000000000,122330000000,123990000000,117220000000,120020000000,799412
1626048000000000000,123500000000,130880000000,121780000000,129970000000,1353874
1626134400000000000,129970000000,130910000000,118590000000,119100000000,1189600
1626220800000000000,118000000000,121440000000,112050000000,112400000000,912531
1626307200000000000,113100000000,114220000000,107230000000,112870000000,853766
1626393600000000000,113090000000,115650000000,109620000000,113780000000,592932
1626652800000000000,113710000000,117430000000,107880000000,116970000000,705033
1626739200000000000,118000000000,118300000000,113200000000,117500000000,480312
1626825600000000000,117500000000,121990000000,116600000000,119790000000,525367
1626912000000000000,119600000000,120600000000,115300000000,116920000000,409967
1626998400000000000,116910000000,118760000000,113850000000,116290000000,324779
1627257600000000000,116370000000,123500000000,115600000000,121900000000,485652
1627344000000000000,121820000000,123690000000,112650000000,115010000000,676046
1627430400000000000,115970000000,122690000000,115200000000,122230000000,485223
1627516800000000000,122700000000,127400000000,120300000000,120650000000,688896
1627603200000000000,120210000000,125250000000,120200000000,120700000000,348248
1627862400000000000,120900000000,134240000000,120900000000,133000000000,911259
1627948800000000000,133290000000,139410000000,125100000000,128920000000,898941
1628035200000000000,129110000000,133460000000,125760000000,127900000000,530720
1628121600000000000,127990000000,137400000000,124290000000,134500000000,1098079
1628208000000000000,135010000000,139540000000,130670000000,132500000000,1089408
1628467200000000000,133250000000,140010000000,133000000000,138400000000,790985
1628553600000000000,138300000000,162270000000,135110000000,160000000000,1376947
1628640000000000000,159900000000,172000000000,156810000000,169740000000,3616872
1628726400000000000,170200000000,186140000000,166400000000,179800000000,2768558
1628812800000000000,180000000000,205200000000,180000000000,203000000000,2954178
1629072000000000000,201020000000,213920000000,188310000000,193700000000,2303344
1629158400000000000,193900000000,208260000000,188880000000,199990000000,1666490
1629244800000000000,199990000000,220130000000,199990000000,212990000000,1682325
1629331200000000000,211500000000,213870000000,192500000000,195250000000,1485201
1629417600000000000,193870000000,208500000000,192030000000,195800000000,1233657
1629676800000000000,198880000000,206380000000,198000000000,202680000000,917609
1629763200000000000,204000000000,220690000000,204000000000,217800000000,1265463
1629849600000000000,217500000000,223740000000,214120000000,215100000000,914605
1629936000000000000,214100000000,219970000000,211000000000,215490000000,614636
1630022400000000000,216750000000,224500000000,212050000000,223890000000,801986
1630281600000000000,224500000000,228110000000,215260000000,215700000000,832404
1630368000000000000,216930000000,230390000000,213500000000,227100000000,943628
1630454400000000000,227400000000,230150000000,222750000000,226200000000,668806
1630540800000000000,226200000000,245240000000,226200000000,244010000000,988990
1630627200000000000,244010000000,254140000000,240000000000,249400000000,1045612
1630972800000000000,252880000000,273000000000,249000000000,270700000000,1252019
1631059200000000000,271800000000,277640000000,261000000000,273510000000,1623211
1631145600000000000,274000000000,291250000000,262010000000,284000000000,1748738
1631232000000000000,287000000000,294390000000,267800000000,268050000000,1747749
1631491200000000000,270510000000,279990000000,259040000000,277990000000,1023575
1631577600000000000,278000000000,282250000000,264200000000,268620000000,1079050
1631664000000000000,268750000000,280780000000,261330000000,280480000000,1427909
1631750400000000000,281110000000,296830000000,277000000000,293580000000,1688353
1631836800000000000,296250000000,308780000000,292920000000,303500000000,4609032
1632096000000000000,302500000000,303960000000,286250000000,293800000000,1664545
1632182400000000000,298000000000,329470000000,294460000000,320760000000,2454316
1632268800000000000,321310000000,334360000000,311680000000,326200000000,1441886
1632355200000000000,327150000000,346000000000,324330000000,336800000000,1421951
1632441600000000000,336330000000,337250000000,323580000000,327050000000,975114
1632700800000000000,327100000000,342280000000,319180000000,329250000000,869066
1632787200000000000,328000000000,328000000000,304060000000,316000000000,1348079
1632873600000000000,315000000000,332150000000,315000000000,322230000000,995908
1632960000000000000,324700000000,327630000000,313790000000,316500000000,819870
1633046400000000000,316250000000,316500000000,285510000000,298960000000,1364310
1633305600000000000,299670000000,299670000000,281130000000,293780000000,989770
1633392000000000000,292000000000,303990000000,288710000000,296230000000,723451
1633478400000000000,292100000000,313600000000,286960000000,309650000000,1141716
1633564800000000000,311300000000,323280000000,304050000000,308320000000,840295
1633651200000000000,309000000000,316020000000,304770000000,311030000000,525838
1633910400000000000,311000000000,319000000000,305270000000,310430000000,680345
1633996800000000000,310430000000,337520000000,309030000000,335000000000,1172041
1634083200000000000,333000000000,346920000000,328360000000,346110000000,921038
1634169600000000000,346200000000,385000000000,346200000000,385000000000,1550893
1634256000000000000,384000000000,401470000000,380600000000,390380000000,2030410
1634515200000000000,390090000000,392000000000,357500000000,387950000000,1799242
1634601600000000000,389800000000,394980000000,362800000000,363500000000,1155022
1634688000000000000,365570000000,368830000000,351410000000,354000000000,994286
1634774400000000000,353000000000,370260000000,350170000000,350670000000,788569
1634860800000000000,350000000000,356450000000,336680000000,342670000000,964235
1635120000000000000,343020000000,364000000000,343020000000,363700000000,834198
1635206400000000000,353880000000,355800000000,310020000000,327990000000,1833695
1635292800000000000,327990000000,334810000000,311500000000,323000000000,942075
1635379200000000000,323500000000,336770000000,319000000000,329000000000,835034
1635465600000000000,330000000000,340990000000,318480000000,322980000000,715941
1635724800000000000,324250000000,346950000000,323000000000,346200000000,902277
1635811200000000000,346200000000,355500000000,332880000000,343200000000,783143
1635897600000000000,343970000000,346800000000,320250000000,330300000000,770600
1635984000000000000,330110000000,337050000000,320360000000,324500000000,550756
