ts_event,open,high,low,close,volume
1525132800000000000,13840000000,13880000000,13410000000,13540000000,1415799
1525219200000000000,13710000000,13920000000,13675000000,13720000000,2317731
1525305600000000000,13760000000,13975000000,13610000000,13610000000,2254040
1525392000000000000,13800000000,14165000000,13800000000,14050000000,2161797
1525651200000000000,14070000000,14070000000,13820000000,13820000000,1482283
1525737600000000000,13830000000,13920000000,13680000000,13730000000,2128827
1525824000000000000,13770000000,13980000000,13710000000,13940000000,1873369
1525910400000000000,14000000000,14470000000,14000000000,14460000000,2098144
1525996800000000000,14470000000,14945000000,14470000000,14520000000,2528755
1526256000000000000,14680000000,14990000000,14680000000,14980000000,2666223
1526342400000000000,14630000000,14925000000,14470000000,14880000000,2546020
1526428800000000000,15020000000,15240000000,14890000000,15140000000,2886285
1526515200000000000,14950000000,15085000000,14880000000,15040000000,2318857
1526601600000000000,14610000000,14870000000,14300000000,14650000000,2877407
1526860800000000000,14580000000,14840000000,14380000000,14410000000,2090362
1526947200000000000,14410000000,14570000000,14220000000,14380000000,2583161
1527033600000000000,14210000000,14410000000,14060000000,14325000000,2086420
1527120000000000000,14260000000,14570000000,14165000000,14415000000,2390622
1527206400000000000,14430000000,14430000000,13955000000,14025000000,2212335
1527552000000000000,13500000000,13990000000,13410000000,13510000000,3157400
1527638400000000000,13550000000,13775000000,13360000000,13530000000,3114190
1527724800000000000,13620000000,13800000000,13570000000,13600000000,1629827
1527811200000000000,13750000000,14100000000,13530000000,14050000000,4011237
1528070400000000000,14040000000,14280000000,13835000000,14060000000,2461192
1528156800000000000,14010000000,14330000000,14000000000,14150000000,2466502
1528243200000000000,14250000000,14725000000,14120000000,14490000000,2549811
1528329600000000000,14400000000,14580000000,13435000000,13850000000,4832333
1528416000000000000,13870000000,14150000000,13615000000,13720000000,3515001
1528675200000000000,13820000000,14080000000,13655000000,13670000000,1609443
1528761600000000000,13690000000,14145000000,13690000000,13965000000,2004870
1528848000000000000,13940000000,14120000000,13680000000,13905000000,1974656
1528934400000000000,14000000000,14010000000,13600000000,13600000000,2613789
1529020800000000000,13590000000,13620000000,13060000000,13180000000,2399293
1529280000000000000,13010000000,13230000000,12870000000,13190000000,1690762
1529366400000000000,12860000000,13100000000,12540000000,13100000000,2824741
1529452800000000000,13240000000,13240000000,12875000000,12890000000,2122673
1529539200000000000,12980000000,13050000000,12560000000,12590000000,2105799
1529625600000000000,12790000000,12895000000,12660000000,12740000000,2473490
1529884800000000000,12740000000,12760000000,12280000000,12520000000,1612955
1529971200000000000,12660000000,12815000000,12375000000,12780000000,2193046
1530057600000000000,12720000000,12905000000,12445000000,12460000000,2181111
1530144000000000000,12510000000,12880000000,12420000000,12785000000,1956853
1530230400000000000,12970000000,13010000000,12740000000,12790000000,1273545
1530489600000000000,12820000000,12820000000,12470000000,12490000000,1571667
1530576000000000000,12690000000,12730000000,12450000000,12450000000,962280
1530748800000000000,12620000000,12740000000,12400000000,12700000000,1465791
1530835200000000000,12590000000,13085000000,12570000000,13035000000,1618632
1531094400000000000,13050000000,13220000000,12915000000,13170000000,1429136
1531180800000000000,13220000000,13225000000,12955000000,13085000000,1289238
