ts_event,open,high,low,close,volume
1605571200000000000,15310000000,17900000000,15300000000,16410000000,18317191
1605657600000000000,16590000000,16990000000,15950000000,16110000000,5540373
1605744000000000000,16090000000,18340000000,15990000000,18110000000,11182153
1605830400000000000,18210000000,18880000000,17010000000,17330000000,9209523
1606089600000000000,17150000000,17920000000,16500000000,16880000000,4639692
1606176000000000000,16780000000,17000000000,16290000000,16850000000,5408597
1606262400000000000,16500000000,17300000000,16500000000,17260000000,3914821
1606435200000000000,17080000000,17365000000,16910000000,17130000000,1861915
1606694400000000000,17000000000,17160000000,16760000000,16760000000,7525167
1606780800000000000,16800000000,17150000000,16740000000,16970000000,4134729
1606867200000000000,16990000000,17270000000,16840000000,17150000000,3893397
1606953600000000000,17130000000,17445000000,16930000000,17340000000,4207302
1607040000000000000,17050000000,17700000000,17050000000,17600000000,3609772
1607299200000000000,17600000000,17995000000,17520000000,17600000000,2418066
1607385600000000000,17510000000,17940000000,17410000000,17900000000,2783709
1607472000000000000,18000000000,18100000000,17500000000,17550000000,3752951
1607558400000000000,17520000000,17840000000,17300000000,17610000000,2751272
1607644800000000000,17650000000,17740000000,17090000000,17490000000,4402157
1607904000000000000,17340000000,17530000000,17085000000,17370000000,3676063
1607990400000000000,17370000000,17865000000,17210000000,17730000000,2616046
1608076800000000000,17660000000,18270000000,17570000000,17940000000,6716951
1608163200000000000,17400000000,17950000000,17400000000,17740000000,6110603
1608249600000000000,17600000000,17930000000,17520000000,17930000000,9422322
1608508800000000000,17050000000,17800000000,16990000000,17410000000,7402655
1608595200000000000,17390000000,17835000000,17280000000,17600000000,5761193
1608681600000000000,17560000000,18030000000,17550000000,17900000000,1794831
1608768000000000000,17870000000,17910000000,17670000000,17770000000,548679
1609113600000000000,17770000000,17880000000,17560000000,17750000000,1406755
1609200000000000000,17740000000,17800000000,17530000000,17650000000,1580485
1609286400000000000,17750000000,18190000000,17580000000,18040000000,3217864
1609372800000000000,17860000000,18860000000,17860000000,18580000000,5552461
1609718400000000000,18590000000,18770000000,18215000000,18530000000,4690955
1609804800000000000,18480000000,18530000000,17810000000,18110000000,3389048
1609891200000000000,18100000000,18670000000,17800000000,18410000000,3203039
1609977600000000000,18490000000,18690000000,18360000000,18600000000,2465470
1610064000000000000,18500000000,18600000000,18030000000,18310000000,2315500
1610323200000000000,18300000000,18660000000,17970000000,18480000000,2097704
1610409600000000000,18470000000,18690000000,18210000000,18280000000,2339430
1610496000000000000,18240000000,18710000000,17820000000,18400000000,2258202
1610582400000000000,18390000000,18450000000,16750000000,17450000000,8164654
1610668800000000000,17370000000,17500000000,16735000000,17140000000,5344758
1611014400000000000,17060000000,17560000000,17060000000,17380000000,2839681
1611100800000000000,17440000000,17710000000,17310000000,17550000000,2483671
1611187200000000000,17690000000,17690000000,16800000000,17450000000,3505409
1611273600000000000,17310000000,17520000000,17100000000,17400000000,1542391
1611532800000000000,17400000000,17430000000,17130000000,17400000000,3543643
1611619200000000000,17230000000,17360000000,17080000000,17190000000,1372534
1611705600000000000,17090000000,17200000000,16615000000,16840000000,4111254
1611792000000000000,16620000000,17440000000,16450000000,17290000000,2436922
1611878400000000000,17300000000,17575000000,16900000000,17050000000,2573603
