ts_event,open,high,low,close,volume
1525132800000000000,65280000000,66220000000,64630000000,65600000000,1822995
1525219200000000000,66380000000,66380000000,63200000000,63350000000,1976089
1525305600000000000,63550000000,63660000000,61890000000,62300000000,2370047
1525392000000000000,62100000000,64150000000,61770000000,63750000000,2132253
1525651200000000000,63830000000,64000000000,62030000000,62410000000,1457289
1525737600000000000,62330000000,62600000000,61560000000,62360000000,1848210
1525824000000000000,62050000000,63100000000,62050000000,62950000000,1233345
1525910400000000000,63360000000,64250000000,63120000000,63810000000,1201045
1525996800000000000,63870000000,64910000000,62650000000,64910000000,2085081
1526256000000000000,64200000000,65220000000,64130000000,65100000000,1858473
1526342400000000000,64580000000,65400000000,64000000000,64610000000,1643509
1526428800000000000,64020000000,65995000000,63890000000,65740000000,1930281
1526515200000000000,65740000000,66040000000,65080000000,65990000000,1543714
1526601600000000000,65930000000,65930000000,64100000000,64560000000,1342776
1526860800000000000,64400000000,65100000000,64280000000,64400000000,1170280
1526947200000000000,64830000000,65820000000,64145000000,64250000000,969341
1527033600000000000,63890000000,63950000000,62690000000,63910000000,1586158
1527120000000000000,63950000000,64000000000,62715000000,63360000000,1251136
1527206400000000000,63500000000,64150000000,63190000000,63530000000,1132044
1527552000000000000,63300000000,63670000000,62500000000,62740000000,1773829
1527638400000000000,62980000000,63850000000,62700000000,63320000000,1152054
1527724800000000000,63590000000,63590000000,62120000000,62510000000,2541496
1527811200000000000,62560000000,63310000000,62160000000,62860000000,1115320
1528070400000000000,63090000000,63420000000,62700000000,63300000000,860713
1528156800000000000,63210000000,63240000000,62440000000,62870000000,2164218
1528243200000000000,63100000000,63320000000,62730000000,63160000000,1506009
1528329600000000000,63150000000,64000000000,63040000000,63740000000,1384515
1528416000000000000,63500000000,64010000000,62980000000,63400000000,1436739
1528675200000000000,63380000000,64390000000,63070000000,64060000000,1157094
1528761600000000000,64110000000,64180000000,63180000000,63700000000,1515866
1528848000000000000,63950000000,64430000000,63660000000,63940000000,1865306
1528934400000000000,64120000000,65000000000,63900000000,64740000000,1990607
1529020800000000000,65050000000,65820000000,64570000000,65790000000,6025918
1529280000000000000,65260000000,65530000000,63890000000,64150000000,1829939
1529366400000000000,63730000000,67500000000,63690000000,66900000000,1942510
1529452800000000000,67250000000,68400000000,65630000000,68300000000,4136907
1529539200000000000,68600000000,68860000000,66930000000,67510000000,2468008
1529625600000000000,68000000000,68265000000,67470000000,67650000000,3873209
1529884800000000000,67350000000,68030000000,66350000000,67250000000,11061731
1529971200000000000,67540000000,67540000000,65420000000,66550000000,2673577
