ts_event,open,high,low,close,volume
1649664000000000000,24750000000,24750000000,24000000000,24430000000,1063
1649667600000000000,24750000000,24990000000,24610000000,24990000000,896
1649671200000000000,24990000000,24990000000,24500000000,24520000000,11272
1649674800000000000,24520000000,24700000000,24010000000,24250000000,4713
1649678400000000000,24220000000,24660000000,23980000000,24140000000,26863
1649682000000000000,24280000000,26250000000,23660000000,25920000000,1643415
1649685600000000000,25930000000,26040000000,24210000000,24250000000,1526500
1649689200000000000,24250000000,24460000000,23610000000,24010000000,1098081
1649692800000000000,24010000000,24315000000,23800000000,23950000000,580364
1649696400000000000,23950000000,24020000000,23720000000,23770000000,470103
1649700000000000000,23770000000,24050000000,23500000000,23950000000,698779
1649703600000000000,23940000000,24860000000,23610000000,24840000000,3215448
1649707200000000000,24840000000,24840000000,24560000000,24630000000,22210046
1649710800000000000,24630000000,24880000000,24600000000,24880000000,12201
1649714400000000000,24810000000,24870000000,24760000000,24760000000,2456
1649718000000000000,24750000000,24750000000,24750000000,24750000000,24
1649750400000000000,24690000000,24690000000,24480000000,24690000000,365
1649754000000000000,24570000000,24650000000,24570000000,24590000000,14
1649757600000000000,24590000000,24600000000,24500000000,24600000000,117
1649761200000000000,24550000000,24770000000,24550000000,24720000000,3074
1649764800000000000,24720000000,24800000000,24700000000,24750000000,2264
1649768400000000000,24770000000,25170000000,24010000000,25170000000,1876393
1649772000000000000,25180000000,25330000000,24000000000,24210000000,1112598
1649775600000000000,24220000000,24620000000,24170000000,24465000000,558879
1649779200000000000,24470000000,24490000000,23760000000,23800000000,549221
1649782800000000000,23800000000,24400000000,23755000000,24320000000,353034
1649786400000000000,24330000000,24355000000,23880000000,24350000000,360880
1649790000000000000,24350000000,24870000000,24050000000,24690000000,1673580
1649793600000000000,24690000000,24880000000,24560000000,24750000000,1142699
1649797200000000000,24680000000,24900000000,24680000000,24800000000,1949
1649804400000000000,24750000000,24750000000,24750000000,24750000000,35
1649836800000000000,24420000000,24800000000,24420000000,24800000000,217
1649844000000000000,24790000000,25000000000,24790000000,24870000000,1571
1649847600000000000,24870000000,25100000000,24400000000,25100000000,3055
1649851200000000000,25130000000,25250000000,24890000000,25160000000,17140
1649854800000000000,25150000000,25250000000,24210000000,25120000000,1310046
1649858400000000000,25120000000,26000000000,24830000000,25730000000,938258
1649862000000000000,25740000000,27080000000,25730000000,26540000000,1705378
1649865600000000000,26540000000,26750000000,26010000000,26610000000,787721
1649869200000000000,26620000000,27040000000,26480000000,26970000000,688709
1649872800000000000,26950000000,27270000000,26620000000,27245000000,1002846
1649876400000000000,27250000000,27500000000,25880000000,26000000000,3676807
1649880000000000000,26000000000,26030000000,25900000000,25980000000,10440220
1649883600000000000,25980000000,25990000000,25870000000,25970000000,968
1649887200000000000,25970000000,25970000000,25950000000,25950000000,2699
1649890800000000000,25960000000,25960000000,25960000000,25960000000,808
1649923200000000000,25910000000,25910000000,25590000000,25590000000,1758
1649926800000000000,25570000000,25600000000,24360000000,25050000000,15171
1649930400000000000,25050000000,25590000000,25050000000,25510000000,17234
1649934000000000000,25530000000,25740000000,25530000000,25690000000,20724
1649937600000000000,25710000000,25900000000,25670000000,25710000000,6682
1649941200000000000,25710000000,26480000000,25500000000,26450000000,1591074
1649944800000000000,26450000000,26570000000,25850000000,25930000000,923620
1649948400000000000,25930000000,26060000000,25810000000,25910000000,338535
1649952000000000000,25910000000,25940000000,25130000000,25245000000,636481
1649955600000000000,25250000000,25380000000,25000000000,25060000000,481463
1649959200000000000,25050000000,25390000000,24890000000,24915000000,662608
1649962800000000000,24915000000,25040000000,24760000000,24830000000,2000276
1649966400000000000,24830000000,24990000000,24830000000,24990000000,2783328
1649970000000000000,24990000000,25000000000,24930000000,24950000000,497
1649973600000000000,24940000000,25000000000,24940000000,25000000000,198
1649977200000000000,25000000000,25050000000,24900000000,25050000000,1442
1650268800000000000,24900000000,24900000000,24850000000,24850000000,151
1650272400000000000,24770000000,24770000000,24040000000,24080000000,2431
1650276000000000000,24090000000,24500000000,24080000000,24420000000,1348
1650279600000000000,24450000000,24880000000,24450000000,24810000000,2251
1650283200000000000,24760000000,24780000000,24630000000,24770000000,2666
1650286800000000000,24760000000,24790000000,24350000000,24550000000,764267
1650290400000000000,24550000000,24690000000,24070000000,24070000000,619711
1650294000000000000,24060000000,24090000000,23750000000,23750000000,781246
1650297600000000000,23750000000,23770000000,23520000000,23570000000,701133
1650301200000000000,23570000000,23970000000,23530000000,23720000000,634977
1650304800000000000,23710000000,23980000000,23630000000,23865000000,445140
1650308400000000000,23865000000,24250000000,23790000000,24220000000,1360867
1650312000000000000,24210000000,24210000000,24100000000,24160000000,1461106
1650315600000000000,24200000000,24230000000,24160000000,24160000000,817
1650319200000000000,24110000000,24200000000,24100000000,24100000000,4868
1650322800000000000,24230000000,24230000000,24230000000,24230000000,1
1650355200000000000,23900000000,23900000000,23500000000,23510000000,5584
1650358800000000000,23520000000,24600000000,23500000000,23650000000,12874
1650362400000000000,23660000000,23790000000,23380000000,23520000000,4760
1650366000000000000,23560000000,23860000000,23530000000,23860000000,23215
1650369600000000000,23800000000,23920000000,23790000000,23840000000,6858
1650373200000000000,23820000000,23980000000,23530000000,23980000000,1026711
1650376800000000000,23980000000,24160000000,23580000000,23590000000,920302
1650380400000000000,23580000000,23830000000,23500000000,23745000000,687155
1650384000000000000,23740000000,23885000000,23650000000,23750000000,496355
1650387600000000000,23755000000,23950000000,23670000000,23710000000,354014
