ts_event,open,high,low,close,volume
1525132800000000000,78000000000,80390000000,77210000000,80000000000,1593678
1525219200000000000,79160000000,79770000000,76600000000,76680000000,1770345
1525305600000000000,76300000000,77480000000,75970000000,77300000000,1305970
1525392000000000000,77500000000,77760000000,76070000000,77370000000,1569422
1525651200000000000,77720000000,79160000000,77440000000,78580000000,1566721
1525737600000000000,78400000000,78780000000,77040000000,77750000000,1107937
1525824000000000000,77770000000,78700000000,77140000000,78600000000,1265268
1525910400000000000,79000000000,79240000000,78100000000,78900000000,1242941
1525996800000000000,79300000000,79820000000,78600000000,78800000000,1238087
1526256000000000000,79800000000,82960000000,79650000000,81350000000,2256458
1526342400000000000,81700000000,83500000000,81025000000,83500000000,2104920
1526428800000000000,83490000000,87140000000,83230000000,86770000000,2015300
1526515200000000000,86780000000,87710000000,85360000000,85360000000,1297114
1526601600000000000,86690000000,86690000000,84400000000,84400000000,1209820
1526860800000000000,85900000000,87420000000,85600000000,87070000000,1349632
1526947200000000000,88260000000,88620000000,87260000000,88000000000,1297843
1527033600000000000,87220000000,88520000000,86410000000,88500000000,1440790
1527120000000000000,88050000000,88620000000,86910000000,88010000000,1738263
1527206400000000000,87030000000,87920000000,86090000000,86440000000,1057972
1527552000000000000,86000000000,87260000000,85660000000,86540000000,1051317
1527638400000000000,87500000000,87500000000,86080000000,86400000000,935813
1527724800000000000,86440000000,86900000000,83430000000,84000000000,1840333
1527811200000000000,84240000000,85970000000,83620000000,85670000000,1392729
1528070400000000000,84390000000,85740000000,83800000000,84850000000,1416874
1528156800000000000,85310000000,86090000000,85240000000,85890000000,1126672
1528243200000000000,86600000000,87150000000,84600000000,84790000000,1410883
1528329600000000000,84940000000,85000000000,80620000000,82490000000,2439718
1528416000000000000,81730000000,82850000000,81150000000,82570000000,1055399
1528675200000000000,82290000000,83470000000,82290000000,82820000000,1297744
1528761600000000000,82770000000,83330000000,81370000000,82120000000,1386815
1528848000000000000,82100000000,83450000000,82100000000,82700000000,1560810
1528934400000000000,82800000000,83620000000,82350000000,82360000000,1581169
1529020800000000000,82160000000,82160000000,80020000000,80550000000,2621076
1529280000000000000,79990000000,80510000000,78880000000,79780000000,1391364
1529366400000000000,79020000000,80890000000,78900000000,80670000000,1393417
1529452800000000000,80500000000,82200000000,80010000000,81600000000,1036738
1529539200000000000,81400000000,83780000000,80730000000,80890000000,1511369
1529625600000000000,81450000000,81450000000,79540000000,79680000000,1513043
1529884800000000000,79000000000,79460000000,77010000000,78160000000,1745109
1529971200000000000,78760000000,78980000000,77720000000,78510000000,1157962
1530057600000000000,78900000000,79480000000,77280000000,77290000000,1172405
1530144000000000000,76800000000,77570000000,76400000000,76960000000,963571
1530230400000000000,77590000000,78560000000,77220000000,77410000000,1092004
1530489600000000000,76920000000,78150000000,76060000000,78040000000,923104
1530576000000000000,78590000000,78810000000,76550000000,76750000000,761591
1530748800000000000,77470000000,77790000000,76540000000,77200000000,1241188
1530835200000000000,77270000000,78080000000,76490000000,78080000000,892858
1531094400000000000,78390000000,79900000000,78140000000,79900000000,948380
1531180800000000000,79900000000,80140000000,79150000000,79400000000,906590
1531267200000000000,79810000000,79810000000,77890000000,78150000000,1089805
1531353600000000000,78620000000,78930000000,78350000000,78850000000,643857
1531440000000000000,78810000000,80060000000,78780000000,79520000000,669550
1531699200000000000,79490000000,79680000000,78020000000,78020000000,730518
1531785600000000000,78000000000,79110000000,77660000000,78990000000,517393
1531872000000000000,78850000000,79260000000,78520000000,78760000000,777148
1531958400000000000,78300000000,78800000000,77190000000,77530000000,824679
1532044800000000000,78460000000,78560000000,76570000000,76890000000,1301563
1532304000000000000,76110000000,76520000000,74820000000,76400000000,1116997
1532390400000000000,76720000000,76980000000,74980000000,75210000000,1272262
1532476800000000000,75110000000,76130000000,74900000000,75700000000,1113538
1532563200000000000,75450000000,78200000000,72910000000,74000000000,1640345
1532649600000000000,75590000000,75910000000,69980000000,71100000000,3051590
1532908800000000000,71150000000,71900000000,69530000000,70070000000,1885343
1532995200000000000,70160000000,71715000000,70120000000,70400000000,1613083
1533081600000000000,70370000000,70410000000,69150000000,69480000000,1502514
1533168000000000000,68770000000,69150000000,68410000000,68750000000,1386634
1533254400000000000,68620000000,68850000000,67330000000,67840000000,1416285
1533513600000000000,68000000000,68460000000,67630000000,68300000000,1041929
1533600000000000000,68510000000,69550000000,67720000000,67770000000,1167506
1533686400000000000,67690000000,67750000000,67020000000,67200000000,1051722
1533772800000000000,66640000000,67000000000,65310000000,66250000000,1410187
1533859200000000000,65650000000,65950000000,64680000000,64830000000,1408683
1534118400000000000,65000000000,65370000000,64040000000,64450000000,1202779
