ts_event,open,high,low,close,volume
1525132800000000000,87120000000,88000000000,86390000000,87910000000,562286
1525219200000000000,87580000000,88630000000,87040000000,87250000000,991734
1525305600000000000,87150000000,88040000000,85310000000,85920000000,1285321
1525392000000000000,86000000000,88070000000,85920000000,87380000000,761755
1525651200000000000,87670000000,89000000000,87670000000,88570000000,718870
1525737600000000000,88400000000,88450000000,87540000000,88070000000,575566
1525824000000000000,88240000000,90330000000,87810000000,89800000000,617106
1525910400000000000,89980000000,91030000000,88920000000,89080000000,804657
1525996800000000000,89000000000,91800000000,89000000000,91800000000,1427494
1526256000000000000,92250000000,93120000000,91610000000,92790000000,841757
1526342400000000000,92260000000,92510000000,91640000000,92280000000,584428
1526428800000000000,92030000000,93850000000,92030000000,93520000000,709495
1526515200000000000,93390000000,94080000000,92900000000,93400000000,562299
1526601600000000000,93820000000,94320000000,92800000000,93650000000,778089
1526860800000000000,94250000000,94420000000,91350000000,91740000000,780313
1526947200000000000,92180000000,92980000000,91280000000,92190000000,604981
1527033600000000000,91750000000,93230000000,91650000000,92440000000,756758
1527120000000000000,92430000000,93070000000,92000000000,92750000000,340304
1527206400000000000,92800000000,93410000000,92390000000,93050000000,692664
1527552000000000000,92500000000,93360000000,91240000000,92500000000,1067076
1527638400000000000,92860000000,94450000000,92800000000,94170000000,873911
1527724800000000000,94240000000,96050000000,94180000000,95480000000,1549125
1527811200000000000,95250000000,97010000000,95250000000,96630000000,896911
1528070400000000000,97180000000,97630000000,94660000000,96440000000,1020590
1528156800000000000,96420000000,97480000000,96340000000,97150000000,789647
1528243200000000000,97440000000,98220000000,97120000000,97800000000,907656
1528329600000000000,97750000000,97780000000,95480000000,96480000000,1295717
1528416000000000000,95750000000,96770000000,95750000000,96360000000,598488
1528675200000000000,96710000000,96810000000,95390000000,95820000000,721669
1528761600000000000,96000000000,97420000000,96000000000,96940000000,731062
1528848000000000000,97110000000,97970000000,96570000000,97150000000,733996
1528934400000000000,97410000000,97810000000,96990000000,97500000000,434685
1529020800000000000,97110000000,97700000000,96750000000,97140000000,811013
1529280000000000000,96670000000,97690000000,96200000000,97510000000,740758
1529366400000000000,96500000000,99080000000,96500000000,98850000000,1185848
1529452800000000000,99350000000,101180000000,99310000000,101060000000,1225255
1529539200000000000,101400000000,101530000000,98880000000,98900000000,1085923
1529625600000000000,99380000000,99380000000,98100000000,99180000000,854409
1529884800000000000,98600000000,98680000000,95870000000,96330000000,1108231
1529971200000000000,97000000000,97310000000,95210000000,96860000000,758729
1530057600000000000,96930000000,97080000000,93510000000,93580000000,1598604
1530144000000000000,93580000000,94460000000,91910000000,94150000000,1346535
1530230400000000000,94700000000,96440000000,94610000000,95110000000,735473
1530489600000000000,94560000000,96330000000,94050000000,96320000000,647135
1530576000000000000,96710000000,97590000000,95910000000,97050000000,491954
1530748800000000000,97520000000,98070000000,96550000000,97490000000,965314
1530835200000000000,97990000000,100360000000,97970000000,100250000000,872761
1531094400000000000,100740000000,101150000000,99120000000,100020000000,928289
1531180800000000000,100310000000,100630000000,99130000000,99680000000,643538
1531267200000000000,98940000000,100100000000,98780000000,99600000000,448731
1531353600000000000,100120000000,100960000000,99760000000,100870000000,900139
1531440000000000000,100830000000,101050000000,100190000000,100590000000,308792
1531699200000000000,100400000000,100630000000,98470000000,98900000000,457767
1531785600000000000,98660000000,100435000000,98530000000,100350000000,368498
1531872000000000000,100130000000,100240000000,99050000000,100100000000,348422
1531958400000000000,99650000000,100690000000,99100000000,100400000000,452944
1532044800000000000,100140000000,101060000000,100060000000,100090000000,748034
1532304000000000000,100110000000,100410000000,99420000000,99980000000,516588
1532390400000000000,100380000000,100870000000,97320000000,97710000000,993513
1532476800000000000,97740000000,98880000000,97200000000,97450000000,941088
1532563200000000000,97400000000,98550000000,96550000000,97840000000,791402
1532649600000000000,97820000000,97830000000,94000000000,95040000000,1716276
1532908800000000000,94930000000,95020000000,92820000000,93320000000,1216778
1532995200000000000,93830000000,95650000000,93440000000,95550000000,896313
1533081600000000000,95240000000,96250000000,94665000000,95110000000,968037
1533168000000000000,94940000000,96120000000,94690000000,95980000000,498762
1533254400000000000,96130000000,96320000000,94350000000,94590000000,649497
1533513600000000000,94690000000,95370000000,93880000000,95000000000,677825
1533600000000000000,95420000000,96060000000,94940000000,96000000000,641209
1533686400000000000,95820000000,96400000000,94920000000,95330000000,840706
1533772800000000000,95430000000,97010000000,95070000000,95270000000,634285
1533859200000000000,95110000000,96220000000,94830000000,94960000000,572579
1534118400000000000,95230000000,95230000000,93640000000,94500000000,1062946
1534204800000000000,94760000000,95650000000,94490000000,94900000000,634446
1534291200000000000,94370000000,94610000000,92510000000,93000000000,1218911
1534377600000000000,93560000000,94300000000,92580000000,93880000000,873814
1534464000000000000,93650000000,94160000000,92930000000,93970000000,768565
1534723200000000000,94200000000,94200000000,93140000000,93320000000,574909
1534809600000000000,93330000000,95400000000,93330000000,95160000000,943922
1534896000000000000,95130000000,96890000000,95130000000,96650000000,1127735
1534982400000000000,96730000000,97070000000,95350000000,96080000000,638480
1535068800000000000,96500000000,96960000000,95630000000,96160000000,476784
1535328000000000000,96950000000,98380000000,96680000000,97840000000,901286
1535414400000000000,98130000000,98690000000,97660000000,98600000000,1329890
1535500800000000000,98680000000,99820000000,98380000000,99620000000,764796
1535587200000000000,99400000000,100680000000,99400000000,99950000000,940832
1535673600000000000,99770000000,100560000000,99390000000,100050000000,754416
1536019200000000000,100050000000,100300000000,98600000000,100030000000,641871
1536105600000000000,99840000000,99840000000,98320000000,99270000000,456544
1536192000000000000,99310000000,99620000000,96440000000,96750000000,807766
1536278400000000000,96580000000,97770000000,95180000000,96410000000,1002518
1536537600000000000,96990000000,97100000000,95980000000,96560000000,228836
1536624000000000000,96470000000,96910000000,95650000000,96600000000,453467
1536710400000000000,96600000000,96930000000,95050000000,96000000000,459157
1536796800000000000,96100000000,96840000000,95540000000,96050000000,535336
1536883200000000000,96110000000,96920000000,95530000000,96000000000,477953
1537142400000000000,95850000000,96090000000,94060000000,94130000000,961768
1537228800000000000,94300000000,95680000000,94200000000,95400000000,754290
1537315200000000000,95400000000,96370000000,95200000000,95550000000,607208
1537401600000000000,95650000000,97750000000,95650000000,97180000000,858888
1537488000000000000,97200000000,97380000000,95310000000,95650000000,879042
1537747200000000000,95680000000,96790000000,95150000000,96780000000,614704
1537833600000000000,96850000000,97400000000,96520000000,97000000000,481964
1537920000000000000,97080000000,97560000000,96050000000,96180000000,512812
1538006400000000000,96240000000,96490000000,95360000000,96030000000,455825
1538092800000000000,95870000000,96530000000,95490000000,95960000000,357595
1538352000000000000,96310000000,96500000000,94350000000,94740000000,591982
1538438400000000000,94630000000,94870000000,92630000000,93180000000,1079875
1538524800000000000,93560000000,95340000000,92680000000,94740000000,838238
1538611200000000000,94630000000,94730000000,91390000000,91860000000,1329165
1538697600000000000,91840000000,92840000000,88570000000,90490000000,1654636
1538956800000000000,90450000000,91090000000,88000000000,89450000000,1367396
1539043200000000000,88940000000,90370000000,88170000000,88480000000,1100302
1539129600000000000,88210000000,88710000000,85200000000,85300000000,1512457
1539216000000000000,83860000000,86680000000,83860000000,85070000000,2287858
1539302400000000000,85750000000,86710000000,84580000000,85940000000,948101
1539561600000000000,85750000000,86140000000,84220000000,84990000000,925202
1539648000000000000,86000000000,89740000000,85480000000,89480000000,1469025
1539734400000000000,88970000000,89380000000,87430000000,89190000000,946613
1539820800000000000,88960000000,89210000000,86620000000,87530000000,1255962
1539907200000000000,88000000000,88910000000,85060000000,85260000000,1288990
1540166400000000000,85750000000,85830000000,82140000000,83320000000,2112039
1540252800000000000,82750000000,85060000000,80410000000,83480000000,2106711
1540339200000000000,83800000000,83890000000,77110000000,77580000000,3591277
1540425600000000000,78000000000,81740000000,77690000000,80050000000,2729844
1540512000000000000,79500000000,81480000000,78050000000,80800000000,2110398
1540771200000000000,81230000000,82110000000,76385000000,77760000000,1684236
1540857600000000000,78250000000,79550000000,76800000000,78700000000,1342240
1540944000000000000,79250000000,80610000000,78830000000,79600000000,1484268
1541030400000000000,79750000000,83970000000,79750000000,83000000000,1299064
1541116800000000000,83510000000,85970000000,82550000000,84100000000,1074903
1541376000000000000,83500000000,84870000000,81630000000,83470000000,907127
1541462400000000000,83000000000,84570000000,82700000000,83410000000,1342943
1541548800000000000,84180000000,85680000000,83750000000,85240000000,1021343
1541635200000000000,84980000000,85870000000,84050000000,84250000000,679483
1541721600000000000,83750000000,83750000000,80315000000,80890000000,1112024
1541980800000000000,80500000000,80720000000,77390000000,77750000000,1438707
1542067200000000000,78250000000,79540000000,77200000000,77750000000,899349
1542153600000000000,77250000000,78510000000,73980000000,74940000000,2377541
1542240000000000000,75500000000,78880000000,74590000000,77600000000,1471214
1542326400000000000,77000000000,80060000000,76720000000,79500000000,1568046
1542585600000000000,79000000000,79440000000,76060000000,76900000000,1463909
1542672000000000000,76500000000,77540000000,74530000000,76030000000,1244889
1542758400000000000,76750000000,78290000000,76300000000,77780000000,1162052
1542931200000000000,77250000000,79610000000,77070000000,78010000000,577347
1543190400000000000,78750000000,80330000000,78750000000,79600000000,1608047
1543276800000000000,79410000000,79430000000,77670000000,78060000000,1361863
1543363200000000000,78500000000,81200000000,77730000000,81000000000,1410955
1543449600000000000,80420000000,81610000000,79850000000,80430000000,582989
1543536000000000000,80260000000,81810000000,80000000000,81810000000,576223
1543795200000000000,82250000000,84950000000,82250000000,84500000000,1125938
1543881600000000000,84000000000,85310000000,80180000000,80460000000,1014397
1544054400000000000,80250000000,80890000000,78290000000,80700000000,1140757
1544140800000000000,80000000000,81400000000,77690000000,78250000000,800733
1544400000000000000,78000000000,79470000000,76620000000,79250000000,568201
1544486400000000000,79500000000,80500000000,78070000000,78880000000,518444
1544572800000000000,79750000000,80930000000,79580000000,79980000000,421369
1544659200000000000,80250000000,80600000000,77710000000,77780000000,871143
1544745600000000000,77250000000,78120000000,76450000000,76770000000,617629
1545004800000000000,76500000000,77910000000,74600000000,75250000000,1141700
1545091200000000000,75750000000,75950000000,72430000000,73250000000,1476494
1545177600000000000,73750000000,75230000000,70160000000,71030000000,1453395
1545264000000000000,71250000000,71500000000,67700000000,69280000000,2336282
1545350400000000000,68970000000,68990000000,65400000000,65700000000,2064425
