ts_event,open,high,low,close,volume
1525132800000000000,73710000000,73710000000,72440000000,73250000000,2550907
1525219200000000000,73220000000,74240000000,72990000000,73640000000,3129640
1525305600000000000,73460000000,73600000000,72510000000,73500000000,2732969
1525392000000000000,73250000000,74110000000,72990000000,73780000000,2058419
1525651200000000000,73950000000,75570000000,73810000000,73940000000,3427845
1525737600000000000,73940000000,74700000000,72650000000,74700000000,5249200
1525824000000000000,75240000000,76880000000,75240000000,76140000000,4176177
1525910400000000000,76090000000,76800000000,76000000000,76650000000,2155479
1525996800000000000,76800000000,77250000000,76560000000,76720000000,1901939
1526256000000000000,76920000000,77600000000,76920000000,77240000000,1579569
1526342400000000000,77560000000,77560000000,76690000000,77210000000,2022223
1526428800000000000,77270000000,77610000000,76780000000,77590000000,2236338
1526515200000000000,77800000000,78820000000,77710000000,78750000000,2783057
1526601600000000000,78800000000,78870000000,78060000000,78130000000,2235645
1526860800000000000,78520000000,78930000000,78160000000,78910000000,1746957
1526947200000000000,78930000000,79415000000,77650000000,77900000000,2971936
1527033600000000000,77490000000,77900000000,76770000000,77790000000,3138021
1527120000000000000,77510000000,77740000000,76225000000,76500000000,2932911
1527206400000000000,76450000000,76450000000,73840000000,74460000000,6212223
1527552000000000000,73020000000,74800000000,73000000000,74280000000,3943180
1527638400000000000,74870000000,76930000000,74700000000,76560000000,3905582
1527724800000000000,76130000000,76920000000,75780000000,76090000000,2548843
1527811200000000000,76090000000,76890000000,75960000000,76400000000,2707251
1528070400000000000,76720000000,77200000000,75520000000,75780000000,2599934
1528156800000000000,75360000000,76120000000,75150000000,75530000000,2200507
1528243200000000000,75780000000,76100000000,75230000000,75900000000,2695088
1528329600000000000,76210000000,77480000000,76210000000,77220000000,2363226
1528416000000000000,76950000000,77350000000,76420000000,76980000000,2097971
1528675200000000000,76590000000,77640000000,76590000000,77210000000,1553069
1528761600000000000,77330000000,77480000000,76500000000,76710000000,2003275
1528848000000000000,76610000000,76870000000,76110000000,76370000000,2207896
1528934400000000000,76790000000,76860000000,76130000000,76220000000,1786381
1529020800000000000,75320000000,75520000000,74020000000,74150000000,2618615
1529280000000000000,74040000000,75400000000,73850000000,74950000000,2102852
1529366400000000000,74190000000,75020000000,73800000000,74650000000,2190613
1529452800000000000,74880000000,75390000000,74470000000,75130000000,2221916
1529539200000000000,74590000000,74670000000,73335000000,73640000000,2672202
1529625600000000000,74150000000,75970000000,74150000000,75150000000,4487511
1529884800000000000,75010000000,75140000000,73150000000,73700000000,3319142
1529971200000000000,73640000000,74850000000,73580000000,74700000000,2273338
1530057600000000000,74750000000,76500000000,74750000000,75550000000,3713304
1530144000000000000,75590000000,75960000000,74900000000,75510000000,2867150
1530230400000000000,75810000000,76740000000,75710000000,75930000000,2215154
1530489600000000000,75400000000,75540000000,74420000000,74760000000,3056436
1530576000000000000,75420000000,76460000000,75115000000,75290000000,1611325
1530748800000000000,76010000000,76100000000,74990000000,75180000000,1823823
1530835200000000000,74870000000,75900000000,74640000000,75720000000,1693030
1531094400000000000,75800000000,76900000000,75800000000,76860000000,1973681
1531180800000000000,77090000000,78000000000,77010000000,77120000000,2280783
1531267200000000000,76530000000,77120000000,75230000000,75880000000,3839484
