ts_event,open,high,low,close,volume
1525132800000000000,27400000000,27490000000,27175000000,27480000000,5322923
1525219200000000000,27470000000,27470000000,27115000000,27160000000,6309459
1525305600000000000,27150000000,27150000000,26465000000,26980000000,7721435
1525392000000000000,27150000000,27410000000,26675000000,27280000000,4357667
1525651200000000000,27360000000,27560000000,27265000000,27460000000,3859878
1525737600000000000,27450000000,27825000000,27450000000,27640000000,4805548
1525824000000000000,27830000000,28115000000,27680000000,28060000000,5639867
1525910400000000000,28120000000,28330000000,27965000000,28220000000,4667121
1525996800000000000,28310000000,28445000000,28210000000,28280000000,3307348
1526256000000000000,28320000000,28390000000,28190000000,28260000000,3008460
1526342400000000000,28220000000,28335000000,28085000000,28140000000,5620928
1526428800000000000,28100000000,28315000000,28100000000,28240000000,4018319
1526515200000000000,28210000000,28280000000,28000000000,28190000000,4839298
1526601600000000000,28150000000,28170000000,27920000000,27920000000,3172104
1526860800000000000,28060000000,28260000000,28060000000,28170000000,2156773
1526947200000000000,28160000000,28500000000,28140000000,28500000000,4955616
1527033600000000000,28200000000,28280000000,27860000000,28190000000,4550966
1527120000000000000,28070000000,28080000000,27665000000,28000000000,4640400
1527206400000000000,27850000000,27895000000,27725000000,27850000000,3767145
1527552000000000000,27560000000,27560000000,26720000000,26920000000,13487176
1527638400000000000,27200000000,27515000000,27120000000,27440000000,6855049
1527724800000000000,27450000000,27500000000,27100000000,27170000000,7723793
1527811200000000000,27270000000,27625000000,27270000000,27530000000,7305533
1528070400000000000,27630000000,27660000000,27530000000,27570000000,4333482
1528156800000000000,27500000000,27560000000,27315000000,27470000000,4925173
1528243200000000000,27540000000,28010000000,27540000000,28010000000,5349903
1528329600000000000,28050000000,28170000000,27870000000,28050000000,7837867
1528416000000000000,27730000000,28140000000,27730000000,28120000000,3828462
1528675200000000000,28110000000,28265000000,27990000000,28080000000,3650767
1528761600000000000,28085000000,28160000000,27820000000,27950000000,3888144
1528848000000000000,27990000000,28180000000,27820000000,27880000000,6863169
1528934400000000000,27800000000,27940000000,27515000000,27640000000,4753408
1529020800000000000,27420000000,27550000000,27115000000,27470000000,6496411
1529280000000000000,27320000000,27455000000,27140000000,27430000000,3957179
1529366400000000000,27000000000,27410000000,27000000000,27330000000,4919172
1529452800000000000,27450000000,27600000000,27240000000,27240000000,4045486
1529539200000000000,27330000000,27355000000,27010000000,27100000000,7602698
1529625600000000000,27330000000,27420000000,27030000000,27040000000,5554418
