ts_event,open,high,low,close,volume
1525132800000000000,51650000000,51650000000,51310000000,51410000000,1877221
1525219200000000000,51270000000,51580000000,51150000000,51360000000,2549595
1525305600000000000,51390000000,51515000000,50710000000,51300000000,3285888
1525392000000000000,51350000000,51735000000,51350000000,51510000000,2233628
1525651200000000000,51430000000,51580000000,51170000000,51250000000,1851681
1525737600000000000,51190000000,51190000000,49870000000,49990000000,3862902
1525824000000000000,50010000000,50120000000,49430000000,49500000000,3263032
1525910400000000000,49720000000,50310000000,49620000000,50300000000,2055913
1525996800000000000,50390000000,50515000000,50190000000,50390000000,997600
1526256000000000000,50460000000,50550000000,49980000000,50210000000,1102938
1526342400000000000,49950000000,50110000000,49540000000,49740000000,1756769
1526428800000000000,49780000000,49860000000,49195000000,49380000000,1809281
1526515200000000000,49350000000,49520000000,48880000000,48980000000,1502153
1526601600000000000,49040000000,49275000000,48610000000,48990000000,1819570
1526860800000000000,48980000000,49370000000,48840000000,49250000000,1826430
1526947200000000000,49220000000,49700000000,49220000000,49440000000,1343080
1527033600000000000,49460000000,49970000000,49460000000,49920000000,2009960
1527120000000000000,49900000000,50310000000,49770000000,50240000000,2298668
1527206400000000000,50260000000,50625000000,50245000000,50475000000,1795518
1527552000000000000,50480000000,50830000000,50150000000,50540000000,3360295
1527638400000000000,50490000000,50990000000,50230000000,50930000000,2482357
1527724800000000000,50780000000,51280000000,50550000000,51010000000,2810581
1527811200000000000,50820000000,50870000000,49980000000,50180000000,2722329
1528070400000000000,50420000000,50515000000,49780000000,49790000000,2029285
1528156800000000000,49610000000,49990000000,49365000000,49530000000,2573649
1528243200000000000,49560000000,49580000000,48370000000,48370000000,3205983
1528329600000000000,48520000000,49185000000,48350000000,48700000000,3307816
1528416000000000000,48800000000,48910000000,48540000000,48720000000,1727833
1528675200000000000,48680000000,48980000000,48455000000,48540000000,2331243
1528761600000000000,48570000000,49205000000,48520000000,49165000000,2216005
1528848000000000000,49230000000,49500000000,48880000000,49070000000,2774970
1528934400000000000,49200000000,49740000000,49040000000,49650000000,2780156
1529020800000000000,49160000000,49560000000,48750000000,49480000000,3842598
1529280000000000000,49540000000,49860000000,49420000000,49700000000,2940648
1529366400000000000,49700000000,50365000000,49700000000,50210000000,2505631
1529452800000000000,50180000000,50355000000,50015000000,50190000000,1842402
1529539200000000000,50190000000,50660000000,50120000000,50390000000,2331987
1529625600000000000,50370000000,50875000000,50340000000,50740000000,2599347
1529884800000000000,50830000000,51690000000,50830000000,51590000000,3524446
1529971200000000000,51470000000,51950000000,51410000000,51600000000,2861065
1530057600000000000,51610000000,52000000000,51450000000,51900000000,3547039
1530144000000000000,51990000000,52360000000,51800000000,51890000000,2835496
1530230400000000000,51790000000,52170000000,51500000000,52020000000,2699581
1530489600000000000,52030000000,52355000000,51750000000,52290000000,2725430
1530576000000000000,52320000000,52785000000,52110000000,52460000000,2245316
1530748800000000000,52480000000,52800000000,52290000000,52780000000,2313371
1530835200000000000,52890000000,53280000000,52780000000,53190000000,2622345
1531094400000000000,53120000000,53160000000,51355000000,51530000000,3889888
1531180800000000000,51440000000,52290000000,50900000000,51900000000,4897025
1531267200000000000,51980000000,52580000000,51980000000,52470000000,3133199
1531353600000000000,52480000000,52630000000,52260000000,52520000000,2322377
1531440000000000000,52590000000,52720000000,52190000000,52540000000,1633234
1531699200000000000,52510000000,52630000000,52230000000,52490000000,2150095
1531785600000000000,52490000000,52655000000,52400000000,52440000000,1364526
1531872000000000000,52390000000,52480000000,51970000000,52200000000,1433377
1531958400000000000,52320000000,52970000000,52300000000,52660000000,1808654
1532044800000000000,52640000000,52640000000,51950000000,52300000000,2111248
1532304000000000000,52280000000,52400000000,51740000000,51980000000,2138027
1532390400000000000,51910000000,52260000000,51180000000,52100000000,2439659
1532476800000000000,52080000000,52505000000,51940000000,52240000000,2644600
1532563200000000000,52440000000,52955000000,52410000000,52720000000,3532331
1532649600000000000,52940000000,53070000000,52440000000,52580000000,2357053
1532908800000000000,52520000000,52540000000,52160000000,52320000000,1924377
1532995200000000000,52460000000,52930000000,52360000000,52800000000,2537097
1533081600000000000,52610000000,52640000000,52000000000,52400000000,3584963
1533168000000000000,52410000000,52870000000,52120000000,52790000000,3516525
1533254400000000000,52800000000,53430000000,52550000000,53290000000,2441433
1533513600000000000,53350000000,53650000000,53250000000,53350000000,2557579
1533600000000000000,53270000000,53340000000,52850000000,53260000000,2093269
1533686400000000000,53210000000,53210000000,52790000000,52940000000,3202415
1533772800000000000,53050000000,53245000000,52785000000,53210000000,1576763
1533859200000000000,53330000000,53660000000,52975000000,53000000000,2770909
1534118400000000000,53080000000,53160000000,52820000000,53060000000,1981681
1534204800000000000,53060000000,53370000000,53040000000,53150000000,1835154
1534291200000000000,53340000000,53980000000,53240000000,53630000000,3542195
1534377600000000000,53540000000,54275000000,53430000000,54240000000,2550493
1534464000000000000,54250000000,54750000000,54110000000,54550000000,2610370
1534723200000000000,54800000000,54800000000,54195000000,54350000000,1904600
1534809600000000000,54230000000,54280000000,53780000000,53930000000,2106229
1534896000000000000,53900000000,54000000000,53335000000,53510000000,1989308
1534982400000000000,53600000000,53875000000,53400000000,53510000000,1866890
1535068800000000000,53440000000,53770000000,53235000000,53750000000,1561719
1535328000000000000,53780000000,53910000000,53140000000,53390000000,1914219
1535414400000000000,53280000000,53470000000,53130000000,53290000000,1878885
1535500800000000000,53420000000,53670000000,53345000000,53650000000,2668947
