ts_event,open,high,low,close,volume
1525132800000000000,77500000000,77510000000,75990000000,76960000000,1673612
1525219200000000000,77200000000,77390000000,76430000000,76770000000,1372669
1525305600000000000,76490000000,76680000000,75410000000,76680000000,1740993
1525392000000000000,76750000000,77220000000,75940000000,76900000000,1191470
1525651200000000000,77700000000,79080000000,77400000000,77740000000,1820810
1525737600000000000,77900000000,78350000000,76370000000,78280000000,2521085
1525824000000000000,79270000000,80240000000,78830000000,80050000000,2085815
1525910400000000000,80350000000,81930000000,80260000000,81930000000,1971622
1525996800000000000,81270000000,81965000000,80910000000,81260000000,1984445
1526256000000000000,80760000000,82320000000,80760000000,81930000000,1139318
1526342400000000000,82000000000,82320000000,81405000000,81630000000,1467767
1526428800000000000,81600000000,82100000000,81170000000,81950000000,937725
1526515200000000000,82050000000,82370000000,81440000000,81950000000,1532272
1526601600000000000,81810000000,82110000000,81260000000,81290000000,850414
1526860800000000000,81550000000,82350000000,81530000000,82320000000,969152
1526947200000000000,82250000000,82650000000,81360000000,81710000000,1391200
1527033600000000000,80300000000,82220000000,80300000000,82080000000,1293056
1527120000000000000,81650000000,81650000000,79950000000,80380000000,1271344
1527206400000000000,80150000000,80150000000,78090000000,78600000000,1531288
1527552000000000000,77600000000,78720000000,77540000000,78410000000,1487203
1527638400000000000,79020000000,81660000000,79020000000,81350000000,1898764
1527724800000000000,81330000000,81550000000,80690000000,81300000000,1298451
1527811200000000000,81500000000,82340000000,81250000000,81820000000,1038838
1528070400000000000,81560000000,82530000000,80810000000,81010000000,1170091
1528156800000000000,80650000000,81650000000,80410000000,80780000000,1011665
1528243200000000000,81280000000,82080000000,80870000000,82060000000,1131431
1528329600000000000,82140000000,83290000000,82140000000,82910000000,1191574
1528416000000000000,82400000000,83655000000,82290000000,83520000000,1218968
1528675200000000000,83400000000,83830000000,82940000000,83100000000,1035562
1528761600000000000,83100000000,83740000000,82330000000,82400000000,1363981
1528848000000000000,82430000000,82840000000,81475000000,81510000000,1258223
1528934400000000000,81920000000,82290000000,81510000000,81920000000,1147269
1529020800000000000,81400000000,81900000000,80520000000,80660000000,1535679
1529280000000000000,80350000000,81380000000,80050000000,80760000000,977627
1529366400000000000,79850000000,80960000000,79730000000,80700000000,1035292
1529452800000000000,80850000000,81100000000,80270000000,80570000000,1193650
1529539200000000000,80220000000,80370000000,79330000000,79850000000,1280744
1529625600000000000,80340000000,81940000000,80340000000,81420000000,1506868
1529884800000000000,81570000000,81570000000,79310000000,79720000000,1470176
1529971200000000000,80040000000,81010000000,79980000000,80630000000,1191231
1530057600000000000,81130000000,82470000000,81000000000,81760000000,1454030
1530144000000000000,81710000000,82060000000,81030000000,81980000000,1267536
1530230400000000000,81800000000,83540000000,81800000000,82700000000,1771097
1530489600000000000,82540000000,82540000000,81330000000,81840000000,1276078
1530576000000000000,82560000000,83450000000,82080000000,82270000000,800070
1530748800000000000,83010000000,83010000000,82050000000,82300000000,999704
1530835200000000000,82000000000,82690000000,81720000000,82320000000,832735
1531094400000000000,82330000000,83130000000,82330000000,82900000000,784294
1531180800000000000,83000000000,84110000000,82970000000,83490000000,951822
1531267200000000000,82970000000,83530000000,82030000000,82570000000,1565473
1531353600000000000,82890000000,83240000000,82310000000,82670000000,1037827
1531440000000000000,82710000000,83745000000,82570000000,83300000000,989950
1531699200000000000,82510000000,82880000000,82000000000,82400000000,889449
1531785600000000000,82490000000,82750000000,82050000000,82330000000,723338
1531872000000000000,82310000000,82320000000,81500000000,82240000000,990869
1531958400000000000,81110000000,82620000000,81110000000,82010000000,879502
1532044800000000000,81990000000,81990000000,81250000000,81400000000,927181
1532304000000000000,81520000000,81990000000,81180000000,81360000000,738733
1532390400000000000,81950000000,83010000000,81480000000,83010000000,1386342
1532476800000000000,82780000000,83730000000,82510000000,83530000000,1040106
1532563200000000000,83640000000,84390000000,83390000000,84250000000,1457433
1532649600000000000,84260000000,84490000000,80120000000,81960000000,1712733
1532908800000000000,82310000000,82310000000,80720000000,81740000000,1179156
1532995200000000000,81540000000,82145000000,81480000000,81500000000,1057450
1533081600000000000,81310000000,81400000000,80230000000,80450000000,995790
1533168000000000000,79850000000,80250000000,79460000000,79950000000,1017213
1533254400000000000,79910000000,80300000000,79630000000,80160000000,821750
1533513600000000000,80210000000,80420000000,79750000000,80190000000,845614
1533600000000000000,80790000000,81580000000,80330000000,81270000000,1271858
1533686400000000000,81000000000,81190000000,80350000000,80700000000,726385
1533772800000000000,80850000000,80870000000,80120000000,80340000000,1021417
1533859200000000000,79370000000,79590000000,78860000000,79450000000,1032752
1534118400000000000,79210000000,79750000000,78435000000,78740000000,886716
1534204800000000000,79000000000,79040000000,78090000000,78210000000,794927
1534291200000000000,77900000000,77920000000,76510000000,77130000000,1746301
1534377600000000000,77310000000,78100000000,77050000000,78010000000,1051312
1534464000000000000,78330000000,78480000000,77800000000,78260000000,860692
1534723200000000000,78540000000,78990000000,78180000000,78820000000,634641
1534809600000000000,79100000000,79580000000,78600000000,78600000000,859232
1534896000000000000,79490000000,80040000000,79020000000,79950000000,917522
1534982400000000000,79620000000,79650000000,78900000000,79050000000,645900
1535068800000000000,79450000000,80040000000,79320000000,79610000000,566221
1535328000000000000,79900000000,80465000000,79870000000,80390000000,633866
1535414400000000000,80400000000,80820000000,80205000000,80220000000,712771
1535500800000000000,80000000000,81035000000,80000000000,80910000000,710747
1535587200000000000,80750000000,80900000000,80125000000,80400000000,776076
1535673600000000000,80240000000,80455000000,79780000000,80230000000,882608
1536019200000000000,80360000000,80680000000,79810000000,80340000000,903946
1536105600000000000,79950000000,81425000000,79600000000,81260000000,1202869
1536192000000000000,81000000000,81640000000,80350000000,80460000000,1374916
1536278400000000000,80220000000,81950000000,79820000000,81950000000,1668823
1536537600000000000,82000000000,82750000000,81660000000,81725000000,835977
1536624000000000000,81400000000,83190000000,81400000000,83140000000,1266472
1536710400000000000,83230000000,83770000000,82890000000,83200000000,1230368
1536796800000000000,82760000000,83310000000,82020000000,82280000000,1071196
1536883200000000000,82350000000,83140000000,82100000000,82900000000,1012638
1537142400000000000,83000000000,83610000000,82740000000,83410000000,692952
1537228800000000000,84000000000,84120000000,83450000000,83480000000,784737
1537315200000000000,83640000000,84770000000,83640000000,84750000000,990644
1537401600000000000,84880000000,85340000000,84200000000,84770000000,991036
1537488000000000000,85140000000,85430000000,84510000000,85130000000,1344645
1537747200000000000,85500000000,87080000000,85500000000,86600000000,1308918
1537833600000000000,87130000000,87350000000,86370000000,86490000000,999670
1537920000000000000,86360000000,86490000000,85690000000,85960000000,951176
1538006400000000000,86050000000,86370000000,85560000000,85580000000,794931
1538092800000000000,85410000000,85925000000,85000000000,85010000000,874168
1538352000000000000,85500000000,86030000000,85200000000,85710000000,862569
1538438400000000000,85750000000,86660000000,85500000000,86430000000,774601
1538524800000000000,86700000000,86890000000,85900000000,85900000000,930000
1538611200000000000,85500000000,86070000000,85070000000,85570000000,1008617
1538697600000000000,85590000000,85770000000,84940000000,85380000000,1028567
1538956800000000000,84600000000,86300000000,84600000000,86290000000,1214271
1539043200000000000,85960000000,86870000000,85740000000,86660000000,973349
1539129600000000000,86740000000,86810000000,84190000000,84350000000,2373485
1539216000000000000,82970000000,84160000000,81170000000,81990000000,2469678
1539302400000000000,82630000000,82880000000,80270000000,81300000000,1800431
1539561600000000000,81500000000,81735000000,80750000000,80900000000,951707
1539648000000000000,80970000000,81470000000,80020000000,81470000000,912089
1539734400000000000,80920000000,81520000000,80340000000,81490000000,1305965
1539820800000000000,80850000000,82460000000,80850000000,81950000000,2047315
1539907200000000000,82000000000,82460000000,81550000000,81850000000,1079862
1540166400000000000,82190000000,82190000000,80645000000,81140000000,1059516
1540252800000000000,80100000000,80450000000,78720000000,79840000000,1982660
1540339200000000000,80020000000,80150000000,77550000000,77780000000,1977067
1540425600000000000,77570000000,79045000000,77570000000,78000000000,1289375
1540512000000000000,77610000000,78400000000,76960000000,77730000000,2490368
1540771200000000000,78080000000,78420000000,76220000000,76900000000,2141736
1540857600000000000,76620000000,79160000000,76520000000,79160000000,1894646
1540944000000000000,79440000000,80350000000,78900000000,79570000000,1624634
1541030400000000000,79580000000,80760000000,79300000000,80390000000,1449697
1541116800000000000,81790000000,83400000000,80240000000,81950000000,2275339
1541376000000000000,82300000000,82870000000,81440000000,81560000000,1544939
1541462400000000000,81360000000,82100000000,81350000000,81960000000,1069457
1541548800000000000,82560000000,83130000000,81660000000,83000000000,1496373
1541635200000000000,82920000000,83745000000,81540000000,81760000000,2416388
1541721600000000000,80200000000,81390000000,79695000000,80880000000,1681623
1541980800000000000,81110000000,81720000000,79750000000,79800000000,1358648
1542067200000000000,79810000000,80000000000,77640000000,78330000000,1926644
1542153600000000000,78300000000,79080000000,76750000000,77200000000,2079495
1542240000000000000,77600000000,78190000000,75910000000,78190000000,2584726
1542326400000000000,78180000000,79185000000,78100000000,78980000000,1577077
1542585600000000000,79050000000,79350000000,78360000000,79210000000,1210777
1542672000000000000,78150000000,79200000000,76370000000,77000000000,2108305
1542758400000000000,77650000000,78380000000,77270000000,77580000000,1358813
1542931200000000000,76700000000,76700000000,74710000000,75250000000,1305043
1543190400000000000,76240000000,77320000000,76100000000,77000000000,1410948
1543276800000000000,76250000000,77500000000,76250000000,77500000000,1165381
1543363200000000000,77060000000,78445000000,76840000000,78280000000,1368264
1543449600000000000,77650000000,79525000000,77600000000,79000000000,1160091
1543536000000000000,78330000000,79570000000,78330000000,79490000000,1255032
1543795200000000000,81200000000,81460000000,80040000000,81190000000,1496231
1543881600000000000,80960000000,81950000000,79350000000,79430000000,1653175
1544054400000000000,77900000000,78430000000,76920000000,78360000000,2651204
1544140800000000000,78100000000,80350000000,77335000000,77800000000,1873851
1544400000000000000,77310000000,77980000000,74800000000,76570000000,2177076
1544486400000000000,77350000000,77800000000,75690000000,76680000000,1478267
1544572800000000000,77720000000,78440000000,76020000000,76020000000,1424446
1544659200000000000,76300000000,77220000000,75930000000,76890000000,1332924
